BUYER,BUYER_addr_line1,BUYER_addr_line2,BUYER_city_state_postal_country,BUYER_email,BUYER_name,BUYER_raw,BUYER_site,BUYER_tel,CURRENCY,DATE,DATE_NORM,DISCOUNT,DISCOUNT_AMOUNT,DUE_DATE,DUE_DATE_NORM,GSTIN_BUYER,GSTIN_SELLER,INVOICE_INFO,NOTE,PAYMENT_DETAILS,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_SITE,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,TOTAL_WORDS,_source_file
"Bill to:Denise Perez
16424 Timothy Mission
Markville, AK 58294 US
Tel:+(352)259-8443
Email:melvin40@example.net
Site:http://smith.org/",16424 Timothy Mission,"Markville, AK 58294 US",,melvin40@example.net,Bill to:Denise Perez,"Bill to:Denise Perez | 16424 Timothy Mission | Markville, AK 58294 US | Tel:+(352)259-8443 | Email:melvin40@example.net | Site:http://smith.org/",http://smith.org/,+(352)259-8443,EUR,Date: 20-Mar-2008,2008-03-20,DISCOUNT(1.85%): (-)  13.42,-13.42,Due Date : 16-Oct-2016,2016-10-16,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note:
This order is shipped through blue dart courier","Bank Name           State Bank of California
Branch Name          Raf CAMP
Bank Account Number  11695435
Bank Swift Code      SBININBB250",PO Number :35,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 725.30  EUR,725.3,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.88%):  28.18 EUR,28.18,TAX INVOICE,TOTAL : 734.33 EUR,734.33,"Total in words:  seven hundred and thirt-
y-four point three three",Template1_Instance0.json
"Buyer :Timothy Clark
62035 Daniel Cove Suite 917
Griffinport, ND 45912 US
Tel:+(038)419-8330
Email:millschristopher@example.com
Site:https://www.cole.com/",62035 Daniel Cove Suite 917,"Griffinport, ND 45912 US",,millschristopher@example.com,Buyer :Timothy Clark,"Buyer :Timothy Clark | 62035 Daniel Cove Suite 917 | Griffinport, ND 45912 US | Tel:+(038)419-8330 | Email:millschristopher@example.com | Site:https://www.cole.com/",https://www.cole.com/,+(038)419-8330,EUR,Date: 01-Apr-1994,1994-04-01,DISCOUNT(2.1%): (-)  27.35,-27.35,Due Date : 25-Nov-1999,1999-11-25,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note:
This order is shipped through blue dart courier","Bank Name           Central Bank of Texas
Branch Name          Raf CAMP
Bank Account Number  15150488
Bank Swift Code      SBININBB250",PO Number :76,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 1302.22  EUR,2.22,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (6.40%):  83.40 EUR,83.4,COMMERCIAL INVOICE,TOTAL : 1357.49 EUR,7.49,"Total in words:  one thousand, three hundred a-
nd fifty-seven point four nine",Template1_Instance1.json
"Bill to:Angel Bailey
265 Ochoa Manors Apt. 518
North John, MD 41885 US
Tel:+(675)553-3428
Email:baileygary@example.net
Site:https://www.mccormick.com/",265 Ochoa Manors Apt. 518,"North John, MD 41885 US",,baileygary@example.net,Bill to:Angel Bailey,"Bill to:Angel Bailey | 265 Ochoa Manors Apt. 518 | North John, MD 41885 US | Tel:+(675)553-3428 | Email:baileygary@example.net | Site:https://www.mccormick.com/",https://www.mccormick.com/,+(675)553-3428,EUR,Invoice Date: 12-Mar-2009,2009-03-12,DISCOUNT(3.67%): (-)  26.99,-26.99,Due Date : 20-Jun-1995,1995-06-20,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],Thank you for choosing us!,"Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  10180775
Bank Swift Code      SBININBB250",PO Number :46,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 735.29  EUR,735.29,"[[{'bbox': [[10.0, 292.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.10%):  22.77 EUR,22.77,COMMERCIAL INVOICE,TOTAL : 744.38 EUR,744.38,"Total in words:  seven hundred and forty-
-four point three eight",Template1_Instance10.json
"Bill to:Daniel Dalton
3324 Price Divide Suite 903
North Pamela, GU 60539 US
Tel:+(080)666-8294
Email:mcdanielchristopher@example.net
Site:https://west.com/",3324 Price Divide Suite 903,"North Pamela, GU 60539 US",,mcdanielchristopher@example.net,Bill to:Daniel Dalton,"Bill to:Daniel Dalton | 3324 Price Divide Suite 903 | North Pamela, GU 60539 US | Tel:+(080)666-8294 | Email:mcdanielchristopher@example.net | Site:https://west.com/",https://west.com/,+(080)666-8294,EUR,Date: 17-Sep-2006,2006-09-17,DISCOUNT(2.9%): (-)  27.99,-27.99,Due Date : 14-Aug-2009,2009-08-14,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Bank Name           State Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  16382672
Bank Swift Code      SBININBB250",PO Number :27,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 965.24  EUR,965.24,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.36%):  32.47 EUR,32.47,INVOICE,TOTAL : 967.02 EUR,967.02,"Total in words:  nine hundred and sixt-
y-seven point zero two",Template1_Instance100.json
"Buyer :Dan Acosta
525 Michael Vista
North Kimberlychester, GU 17479 US
Tel:+(792)992-4731
Email:chelseaunderwood@example.com
Site:http://rivera.info/",525 Michael Vista,"North Kimberlychester, GU 17479 US",,chelseaunderwood@example.com,Buyer :Dan Acosta,"Buyer :Dan Acosta | 525 Michael Vista | North Kimberlychester, GU 17479 US | Tel:+(792)992-4731 | Email:chelseaunderwood@example.com | Site:http://rivera.info/",http://rivera.info/,+(792)992-4731,USD,Invoice Date: 06-Sep-2017,2017-09-06,DISCOUNT(3.45%): (-)  21.2,-21.2,Due Date : 16-May-2012,2012-05-16,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note:
This order is shipped through blue dart courier","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  17025461
Bank Swift Code      SBININBB250",PO Number :04,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 614.54  USD,614.54,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (4.18%):  25.68 USD,25.68,TAX INVOICE,TOTAL : 626.27 USD,626.27,"Total in words:  six hundred and twent-
y-six point two seven",Template1_Instance101.json
"Bill to:Troy Murray
07698 Jeremy Freeway Apt. 944
Baileyside, NM 63100 US
Tel:+(811)045-2978
Email:ymills@example.org
Site:http://wells-woodward.com/",07698 Jeremy Freeway Apt. 944,"Baileyside, NM 63100 US",,ymills@example.org,Bill to:Troy Murray,"Bill to:Troy Murray | 07698 Jeremy Freeway Apt. 944 | Baileyside, NM 63100 US | Tel:+(811)045-2978 | Email:ymills@example.org | Site:http://wells-woodward.com/",http://wells-woodward.com/,+(811)045-2978,USD,Date: 29-Mar-2008,2008-03-29,DISCOUNT(4.78%): (-)  20.83,-20.83,Due Date : 25-Sep-2020,2020-09-25,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  17190279
Bank Swift Code      SBININBB250",PO Number :98,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 435.82  USD,435.82,"[[{'bbox': [[10.0, 292.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (4.70%):  20.49 USD,20.49,COMMERCIAL INVOICE,TOTAL : 444.46 USD,444.46,"Total in words:  four hundred and fort-
y-four point four six",Template1_Instance102.json
"Bill to:Michele Turner DDS
7673 Kevin Isle
Robertfort, CT 51568 US
Tel:+(832)234-6947
Email:allenwilliam@example.org
Site:http://www.stafford.org/",7673 Kevin Isle,"Robertfort, CT 51568 US",,allenwilliam@example.org,Bill to:Michele Turner DDS,"Bill to:Michele Turner DDS | 7673 Kevin Isle | Robertfort, CT 51568 US | Tel:+(832)234-6947 | Email:allenwilliam@example.org | Site:http://www.stafford.org/",http://www.stafford.org/,+(832)234-6947,EUR,Invoice Date: 06-Sep-2007,2007-09-06,DISCOUNT(4.68%): (-)  37.71,-37.71,Due Date : 24-Feb-2022,2022-02-24,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Bank Name           State Bank of Texas
Branch Name          Raf CAMP
Bank Account Number  17572158
Bank Swift Code      SBININBB250",PO Number :25,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 805.87  EUR,805.87,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (6.27%):  50.52 EUR,50.52,INVOICE,TOTAL : 839.31 EUR,839.31,"Total in words:  eight hundred and thir-
ty-nine point three one",Template1_Instance103.json
"Bill to:Brandon Strong
98127 Hayes Burgs Apt. 011
North Rickyland, IA 36527 US
Tel:+(295)244-9610
Email:nicole58@example.net
Site:https://garcia.org/",98127 Hayes Burgs Apt. 011,"North Rickyland, IA 36527 US",,nicole58@example.net,Bill to:Brandon Strong,"Bill to:Brandon Strong | 98127 Hayes Burgs Apt. 011 | North Rickyland, IA 36527 US | Tel:+(295)244-9610 | Email:nicole58@example.net | Site:https://garcia.org/",https://garcia.org/,+(295)244-9610,USD,Invoice Date: 18-Oct-2004,2004-10-18,DISCOUNT(4.14%): (-)  26.18,-26.18,Due Date : 12-Apr-2014,2014-04-12,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],Thank you for choosing us!,"Bank Name           State Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  13004366
Bank Swift Code      SBININBB250",PO Number :93,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 632.25  USD,632.25,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.80%):  24.03 USD,24.03,TAX INVOICE,TOTAL : 647.37 USD,647.37,"Total in words:  six hundred and forty--
seven point three seven",Template1_Instance104.json
"Bill to:Albert Tyler
484 Williams Villages Suite 321
Lake Norma, SD 24816 US
Tel:+(323)014-8128
Email:brendayu@example.com
Site:https://bryan.net/",484 Williams Villages Suite 321,"Lake Norma, SD 24816 US",,brendayu@example.com,Bill to:Albert Tyler,"Bill to:Albert Tyler | 484 Williams Villages Suite 321 | Lake Norma, SD 24816 US | Tel:+(323)014-8128 | Email:brendayu@example.com | Site:https://bryan.net/",https://bryan.net/,+(323)014-8128,EUR,Invoice Date: 21-Sep-2006,2006-09-21,DISCOUNT(3.15%): (-)  17.74,-17.74,Due Date : 08-May-2006,2006-05-08,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note:
This order is shipped through blue dart courier","Bank Name           State Bank of California
Branch Name          Raf CAMP
Bank Account Number  17902802
Bank Swift Code      SBININBB250",PO Number :08,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 563.26  EUR,563.26,"[[{'bbox': [[10.0, 274.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (6.42%):  36.17 EUR,36.17,INVOICE,TOTAL : 586.14 EUR,586.14,"Total in words:  five hundred and eigh-
ty-six point one four",Template1_Instance105.json
"Bill to:Mrs. Kristin Joyce
2842 Nelson Drives
West Bethborough, MH 50279 US
Tel:+(415)871-5401
Email:barrygarcia@example.com
Site:https://richardson.com/",2842 Nelson Drives,"West Bethborough, MH 50279 US",,barrygarcia@example.com,Bill to:Mrs. Kristin Joyce,"Bill to:Mrs. Kristin Joyce | 2842 Nelson Drives | West Bethborough, MH 50279 US | Tel:+(415)871-5401 | Email:barrygarcia@example.com | Site:https://richardson.com/",https://richardson.com/,+(415)871-5401,EUR,Invoice Date: 05-Mar-2015,2015-03-05,DISCOUNT(4.63%): (-)  20.8,-20.8,Due Date : 11-Feb-2015,2015-02-11,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  13525779
Bank Swift Code      SBININBB250",PO Number :35,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,"Markville, AK 58294 US",,,,Address:16424 Timothy Mission,"Address:16424 Timothy Mission | Markville, AK 58294 US",,,SUB_TOTAL : 449.17  EUR,449.17,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (5.41%):  24.31 EUR,24.31,INVOICE,TOTAL : 452.82 EUR,452.82,"Total in words:  four hundred and fift-
y-two point eight two",Template1_Instance106.json
