BUYER,BUYER_addr_line1,BUYER_addr_line2,BUYER_city_state_postal_country,BUYER_email,BUYER_name,BUYER_raw,BUYER_site,BUYER_tel,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,GST(7%),GSTIN,INVOICE_INFO,NUMBER,SELLER_ADDRESS,SELLER_NAME,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,_source_file
"Bill to:Suzanne Sandoval
13868 Michael Wall
North Cindytown, CT 45483 US
Tel:+(836)744-4229
Email:ljames@example.org
Site:http://www.campbell-baker.com/",13868 Michael Wall,"North Cindytown, CT 45483 US",,ljames@example.org,Bill to:Suzanne Sandoval,"Bill to:Suzanne Sandoval | 13868 Michael Wall | North Cindytown, CT 45483 US | Tel:+(836)744-4229 | Email:ljames@example.org | Site:http://www.campbell-baker.com/",http://www.campbell-baker.com/,+(836)744-4229,USD,Invoice Date: 23-Feb-2014,2014-02-23,,GST(7%) : 45.21,GSTIN: 33123456789102Z1,[],INVOICE # INV17967327,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 645.92  $,645.92,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 653.95 $,653.95,Template2_Instance0.json
"Buyer :Anthony Brown
184 Christopher Ridge
Mitchellchester, MN 32776 US
Tel:+(298)995-0812
Email:ericmontgomery@example.org
Site:http://www.pierce.biz/",184 Christopher Ridge,"Mitchellchester, MN 32776 US",,ericmontgomery@example.org,Buyer :Anthony Brown,"Buyer :Anthony Brown | 184 Christopher Ridge | Mitchellchester, MN 32776 US | Tel:+(298)995-0812 | Email:ericmontgomery@example.org | Site:http://www.pierce.biz/",http://www.pierce.biz/,+(298)995-0812,USD,Date: 27-Mar-2008,2008-03-27,,GST(7%) : 51.08,GSTIN: 33123456789102Z1,[],Invoice number 2Y9M4d-800,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 729.65  USD,729.65,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 739.31 USD,739.31,Template2_Instance1.json
"Buyer :Marvin Smith
7611 Jesse Hollow Apt. 613
Port Andrewside, OK 89679 US
Tel:+(385)761-7629
Email:lmorris@example.net
Site:https://www.ramirez-cook.net/",7611 Jesse Hollow Apt. 613,"Port Andrewside, OK 89679 US",,lmorris@example.net,Buyer :Marvin Smith,"Buyer :Marvin Smith | 7611 Jesse Hollow Apt. 613 | Port Andrewside, OK 89679 US | Tel:+(385)761-7629 | Email:lmorris@example.net | Site:https://www.ramirez-cook.net/",https://www.ramirez-cook.net/,+(385)761-7629,USD,Invoice Date: 01-Apr-2021,2021-04-01,,GST(7%) : 75.55,GSTIN: 33123456789102Z1,[],INVOICE # 2533-604,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 1079.27  $,9.27,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",,TAX INVOICE,TOTAL : 1107.09 $,7.09,Template2_Instance10.json
"Buyer :Katherine Mclaughlin
66384 Lisa Hollow
Port Rachelfort, GU 62290 US
Tel:+(428)286-4205
Email:xlucas@example.org
Site:https://www.campos-wagner.com/",66384 Lisa Hollow,"Port Rachelfort, GU 62290 US",,xlucas@example.org,Buyer :Katherine Mclaughlin,"Buyer :Katherine Mclaughlin | 66384 Lisa Hollow | Port Rachelfort, GU 62290 US | Tel:+(428)286-4205 | Email:xlucas@example.org | Site:https://www.campos-wagner.com/",https://www.campos-wagner.com/,+(428)286-4205,USD,Date: 09-Dec-2013,2013-12-09,,GST(7%) : 24.57,GSTIN: 33123456789102Z1,[],INVOICE ID INV06961250,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 351.00  USD,351.0,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 357.40 USD,357.4,Template2_Instance100.json
"Buyer :Tiffany Mendoza
10965 Sullivan Summit
Port Jeffrey, DC 98039 US
Tel:+(205)168-6734
Email:mcbridejasmine@example.org
Site:https://lara.biz/",10965 Sullivan Summit,"Port Jeffrey, DC 98039 US",,mcbridejasmine@example.org,Buyer :Tiffany Mendoza,"Buyer :Tiffany Mendoza | 10965 Sullivan Summit | Port Jeffrey, DC 98039 US | Tel:+(205)168-6734 | Email:mcbridejasmine@example.org | Site:https://lara.biz/",https://lara.biz/,+(205)168-6734,EUR,Date: 10-Feb-1995,1995-02-10,,GST(7%) : 2.68,GSTIN: 33123456789102Z1,[],INVOICE # 5701-821,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 38.31  EUR,38.31,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,TAX INVOICE,TOTAL : 37.88 EUR,37.88,Template2_Instance101.json
"Bill to:Maria Hoover
8174 Knight Center Apt. 180
Melanieborough, GA 30904 US
Tel:+(532)450-3638
Email:shannonparsons@example.org
Site:http://www.day.com/",8174 Knight Center Apt. 180,"Melanieborough, GA 30904 US",,shannonparsons@example.org,Bill to:Maria Hoover,"Bill to:Maria Hoover | 8174 Knight Center Apt. 180 | Melanieborough, GA 30904 US | Tel:+(532)450-3638 | Email:shannonparsons@example.org | Site:http://www.day.com/",http://www.day.com/,+(532)450-3638,USD,Invoice Date: 07-Nov-2004,2004-11-07,,GST(7%) : 24.56,GSTIN: 33123456789102Z1,[],Invoice number 1Y8M4d-252,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 350.90  USD,350.9,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 353.11 USD,353.11,Template2_Instance102.json
"Bill to:Michael Jones
4504 Tina Cliffs Suite 034
Kellyhaven, MI 80835 US
Tel:+(772)987-7343
Email:wadkins@example.com
Site:https://www.garcia.net/",4504 Tina Cliffs Suite 034,"Kellyhaven, MI 80835 US",,wadkins@example.com,Bill to:Michael Jones,"Bill to:Michael Jones | 4504 Tina Cliffs Suite 034 | Kellyhaven, MI 80835 US | Tel:+(772)987-7343 | Email:wadkins@example.com | Site:https://www.garcia.net/",https://www.garcia.net/,+(772)987-7343,USD,Date: 13-May-1999,1999-05-13,,GST(7%) : 40.34,GSTIN: 33123456789102Z1,[],INVOICE # INV53756945,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 576.35  $,576.35,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",,INVOICE,TOTAL : 571.42 $,571.42,Template2_Instance103.json
"Buyer :Emily Gordon
582 Blake Meadow Apt. 421
Donaldhaven, MH 13167 US
Tel:+(701)792-5827
Email:espinozajoseph@example.org
Site:http://walker.com/",582 Blake Meadow Apt. 421,"Donaldhaven, MH 13167 US",,espinozajoseph@example.org,Buyer :Emily Gordon,"Buyer :Emily Gordon | 582 Blake Meadow Apt. 421 | Donaldhaven, MH 13167 US | Tel:+(701)792-5827 | Email:espinozajoseph@example.org | Site:http://walker.com/",http://walker.com/,+(701)792-5827,USD,Date: 18-Apr-1994,1994-04-18,,GST(7%) : 44.12,GSTIN: 33123456789102Z1,[],INVOICE ID 8309-658,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 630.27  $,630.27,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 641.62 $,641.62,Template2_Instance104.json
"Buyer :Diana Frey
819 Paul Prairie
Jonesborough, MP 38972 US
Tel:+(769)153-1879
Email:brownmaria@example.org
Site:http://parks.com/",819 Paul Prairie,"Jonesborough, MP 38972 US",,brownmaria@example.org,Buyer :Diana Frey,"Buyer :Diana Frey | 819 Paul Prairie | Jonesborough, MP 38972 US | Tel:+(769)153-1879 | Email:brownmaria@example.org | Site:http://parks.com/",http://parks.com/,+(769)153-1879,EUR,Date: 25-Jun-1995,1995-06-25,,GST(7%) : 109.27,GSTIN: 33123456789102Z1,[],Invoice number 7Y5M7d-024,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 1560.93  EUR,0.93,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 1604.79 EUR,4.79,Template2_Instance105.json
"Bill to:Amanda Gross
6095 Mark Creek Apt. 795
Laurabury, OH 76369 US
Tel:+(299)889-7825
Email:ortizphilip@example.com
Site:https://bailey-mcintyre.com/",6095 Mark Creek Apt. 795,"Laurabury, OH 76369 US",,ortizphilip@example.com,Bill to:Amanda Gross,"Bill to:Amanda Gross | 6095 Mark Creek Apt. 795 | Laurabury, OH 76369 US | Tel:+(299)889-7825 | Email:ortizphilip@example.com | Site:https://bailey-mcintyre.com/",https://bailey-mcintyre.com/,+(299)889-7825,USD,Date: 11-Nov-2000,2000-11-11,,GST(7%) : 49.08,GSTIN: 33123456789102Z1,[],INVOICE # INV/91-46/641,"Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin","North Cindytown, CT 45483 US",,,,Address:13868 Michael Wall,"Address:13868 Michael Wall | North Cindytown, CT 45483 US",,,SUB_TOTAL : 701.14  USD,701.14,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 735.94 USD,735.94,Template2_Instance106.json
