BILL_TO,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,DUE_DATE,DUE_DATE_NORM,INVOICE_INFO,NOTE,NUMBER,PO_NUMBER,SELLER_NAME,SUB_TOTAL_AMOUNT,TABLE,TAX,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,TOTAL_WORDS,_source_file
"BILL_TO:
Sarah Ross
073 Ayers Street Apt. 371
Lake James, MO 83191 US
Tel:+(546)285-1820
Email:matthew89@example.net
Site:http://anderson.com/",USD,Date: 03-Mar-2002,2002-03-03,,Due Date : 20-Aug-2007,2007-08-20,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID INV16291505,PO Number :82,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.46%):  86.23 $,86.23,INVOICE,TOTAL : 1377.77 $,7.77,"Total in words:  one thousand, three hundred and-
seventy-seven point seven seven",Template3_Instance0.json
"BILL_TO:
Jennifer Leblanc
938 Gonzalez Courts Apt. 670
Kelliville, MH 96325 US
Tel:+(535)274-2993
Email:pauljimenez@example.com
Site:http://www.thomas-harris.info/",USD,Invoice Date: 06-Aug-2017,2017-08-06,,Due Date : 17-Sep-2021,2021-09-17,[],Thank you for choosing us!,INVOICE # 1Y7M4d-846,PO Number :16,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.43%):  18.60 USD,18.6,COMMERCIAL INVOICE,TOTAL : 350.43 USD,350.43,"Total in words:  three hundred and fi-
fty point four three",Template3_Instance1.json
"BILL_TO:
Mr. John Gray
013 Hayes Route Apt. 589
Susanland, AR 17782 US
Tel:+(151)966-0393
Email:alexandersheila@example.org
Site:http://www.lee-thompson.com/",EUR,Invoice Date: 25-Nov-2014,2014-11-25,,Due Date : 10-Jan-2013,2013-01-10,[],Note:Total payment due in 14 days.,Invoice number 5Y4M5d-345,PO Number :06,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.16%):  7.60 EUR,7.6,COMMERCIAL INVOICE,TOTAL : 126.98 EUR,126.98,"Total in words:  one hundred and twent-
y-six point nine eight",Template3_Instance10.json
"BILL_TO:
Rachel Garza
41913 Paul Drives
Port Jonathanmouth, WV 07494 US
Tel:+(640)086-2296
Email:aaron98@example.com
Site:https://smith.net/",USD,Date: 17-Jun-2009,2009-06-17,,Due Date : 19-Feb-1998,1998-02-19,[],"Note:
This order is shipped through blue dart courier",INVOICE # INV/70-41/903,PO Number :44,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.22%):  11.99 USD,11.99,TAX INVOICE,TOTAL : 196.23 USD,196.23,"Total in words:  one hundred and ninet-
y-six point two three",Template3_Instance100.json
"BILL_TO:
Kelly Snyder
81132 Parsons Lodge
Jamesfurt, MA 36804 US
Tel:+(671)430-2079
Email:jessicaboyer@example.net
Site:http://lewis.info/",USD,Invoice Date: 10-Aug-1999,1999-08-10,,Due Date : 15-May-2006,2006-05-15,[],Note:Total payment due in 14 days.,INVOICE ID INV79204732,PO Number :08,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.85%):  77.71 $,77.71,COMMERCIAL INVOICE,TOTAL : 1155.97 $,5.97,"Total in words:  one thousand, one hundred an-
d fifty-five point nine seven",Template3_Instance101.json
"BILL_TO:
Richard Fields
53129 Kimberly Place Suite 394
Gomezton, MN 21479 US
Tel:+(849)775-7497
Email:wadebenjamin@example.org
Site:http://ross.com/",USD,Invoice Date: 03-Jun-2012,2012-06-03,,Due Date : 24-Dec-1995,1995-12-24,[],"Note:
This order is shipped through blue dart courier",Invoice number 1099-670,PO Number :35,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.75%):  65.81 $,65.81,INVOICE,TOTAL : 1006.96 $,6.96,"Total in words:  one thousand and -
six point nine six",Template3_Instance102.json
"BILL_TO:
Debbie Ramirez
81810 Miller Key Apt. 462
Kimberlyport, MP 99762 US
Tel:+(759)455-2161
Email:robertvaughn@example.com
Site:https://brown-miller.com/",USD,Invoice Date: 03-Jan-2016,2016-01-03,,Due Date : 14-Mar-2005,2005-03-14,[],Thank you for choosing us!,INVOICE ID 7Y1M5d-285,PO Number :63,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.85%):  30.28 USD,30.28,INVOICE,TOTAL : 527.93 USD,527.93,"Total in words:  five hundred and twenty-
-seven point nine three",Template3_Instance103.json
"BILL_TO:
Jonathon Robinson
8371 Eric Turnpike
Fosterton, FM 96947 US
Tel:+(167)450-3820
Email:williamsolivia@example.org
Site:https://chapman.org/",EUR,Date: 18-May-2002,2002-05-18,,Due Date : 07-Feb-1998,1998-02-07,[],"Note:
This order is shipped through blue dart courier",INVOICE ID 5Y1M7d-763,PO Number :61,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.92%):  37.77 EUR,37.77,INVOICE,TOTAL : 965.35 EUR,965.35,"Total in words:  nine hundred and sixty-
-five point three five",Template3_Instance104.json
"BILL_TO:
Kristen Suarez
985 May Rapids
Solisfort, IA 68833 US
Tel:+(033)133-6640
Email:kellywilliam@example.org
Site:https://cross-hicks.com/",USD,Date: 21-Mar-1995,1995-03-21,,Due Date : 05-May-2018,2018-05-05,[],Note:Total payment due in 14 days.,INVOICE ID 1Y3M8d-692,PO Number :28,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.39%):  31.13 USD,31.13,TAX INVOICE,TOTAL : 704.62 USD,704.62,"Total in words:  seven hundred and -
four point six two",Template3_Instance105.json
"BILL_TO:
Elizabeth Horton MD
216 Lee Locks Apt. 726
North Wendy, VI 87852 US
Tel:+(531)188-1874
Email:john99@example.net
Site:https://www.mccullough.net/",EUR,Invoice Date: 02-Aug-1996,1996-08-02,,Due Date : 20-Dec-1996,1996-12-20,[],Note:Total payment due in 14 days.,INVOICE # INV/82-56/794,PO Number :59,"Kirk, Murphy and Daniels",,"[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.73%):  37.12 EUR,37.12,TAX INVOICE,TOTAL : 653.15 EUR,653.15,"Total in words:  six hundred and fifty-
-three point one five",Template3_Instance106.json
