BILL_TO,CURRENCY,DATE,DATE_NORM,DISCOUNT,DISCOUNT_AMOUNT,DUE_DATE,DUE_DATE_NORM,INVOICE_INFO,NOTE,SELLER_ADDRESS,SELLER_NAME,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX_AMOUNT,TITLE,TOTAL,TOTAL_AMOUNT,_source_file
"BILL_TO:
Colleen Ellis
37379 Harris Spurs Suite 707
West Erika, OH 34948 US
Tel:+(739)651-6233
Email:amanda56@example.org
Site:https://conrad-smith.com/",USD,Invoice Date: 12-Oct-1994,1994-10-12,DISCOUNT(2.39%): (-)  23.71,-23.71,Due Date : 31-May-2022,2022-05-31,[],Thank you for choosing us!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 992.04  USD,992.04,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 995.15 USD,995.15,Template4_Instance0.json
"BILL_TO:
Vicki Brennan
163 Richard Station
Travischester, ND 67073 US
Tel:+(668)889-2175
Email:zturner@example.net
Site:https://www.rose-harris.biz/",EUR,Date: 20-Jan-2004,2004-01-20,DISCOUNT(4.3%): (-)  34.07,-34.07,Due Date : 26-Apr-2016,2016-04-26,[],Thank you for choosing us!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 792.31  EUR,792.31,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,INVOICE,TOTAL : 806.53 EUR,806.53,Template4_Instance1.json
"BILL_TO:
Misty Smith
08158 Michael Track Apt. 253
Royfurt, NC 07390 US
Tel:+(943)172-9606
Email:hsalas@example.net
Site:http://www.martinez.com/",USD,Invoice Date: 21-Apr-2011,2011-04-21,DISCOUNT(4.95%): (-)  23.34,-23.34,Due Date : 19-Oct-1997,1997-10-19,[],Note:Total payment due in 14 days.,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 471.57  $,471.57,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 487.65 $,487.65,Template4_Instance10.json
"BILL_TO:
Shannon Knight
187 Brittany Branch
Andrewhaven, PW 20357 US
Tel:+(505)360-9082
Email:pauldixon@example.org
Site:http://flores.net/",USD,Date: 30-Oct-1994,1994-10-30,DISCOUNT(3.95%): (-)  11.14,-11.14,Due Date : 14-Nov-2005,2005-11-14,[],Thank you for your business!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 282.04  USD,282.04,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 285.06 USD,285.06,Template4_Instance100.json
"BILL_TO:
Gary Miller
359 Emily Lock
Allisonmouth, CO 62577 US
Tel:+(688)305-9332
Email:patrickriley@example.org
Site:http://www.lawrence-perkins.com/",USD,Date: 29-Oct-2019,2019-10-29,DISCOUNT(4.97%): (-)  55.77,-55.77,Due Date : 25-Nov-2009,2009-11-25,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 1122.23  $,2.23,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 1124.73 $,4.73,Template4_Instance101.json
"BILL_TO:
Shane Cabrera
22488 Flowers Spring
Davidshire, WY 94037 US
Tel:+(763)102-5132
Email:codygalvan@example.net
Site:https://montgomery-olson.biz/",EUR,Invoice Date: 06-Dec-2015,2015-12-06,DISCOUNT(1.86%): (-)  14.51,-14.51,Due Date : 28-Feb-2003,2003-02-28,[],Note:Total payment due in 14 days.,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 780.35  EUR,780.35,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 789.09 EUR,789.09,Template4_Instance102.json
"BILL_TO:
Debbie Donaldson
1008 Anderson Stravenue Suite 973
Mossfurt, PA 93919 US
Tel:+(748)298-6060
Email:eric59@example.org
Site:https://roberts.com/",USD,Invoice Date: 08-Jan-2014,2014-01-08,DISCOUNT(3.33%): (-)  7.07,-7.07,Due Date : 25-Nov-2004,2004-11-25,[],Note:Total payment due in 14 days.,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 212.44  $,212.44,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,TAX INVOICE,TOTAL : 208.93 $,208.93,Template4_Instance103.json
"BILL_TO:
Beth Valencia
74534 Edwards Springs Suite 286
Port Sharon, WI 62260 US
Tel:+(442)912-4741
Email:bensontyler@example.com
Site:https://www.sandoval.com/",USD,Date: 21-Mar-2005,2005-03-21,DISCOUNT(3.43%): (-)  22.85,-22.85,Due Date : 30-Aug-2010,2010-08-30,[],Thank you for choosing us!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 666.08  $,666.08,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 676.38 $,676.38,Template4_Instance104.json
"BILL_TO:
Lee Wilkinson
3689 Derrick Camp Suite 543
Smithshire, AR 59059 US
Tel:+(612)275-2222
Email:patricia73@example.net
Site:http://smith-walker.com/",EUR,Invoice Date: 02-Nov-2012,2012-11-02,DISCOUNT(1.56%): (-)  16.33,-16.33,Due Date : 03-Jul-2015,2015-07-03,[],"Note:
This order is shipped through blue dart courier","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 1047.09  EUR,7.09,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 1049.43 EUR,9.43,Template4_Instance105.json
"BILL_TO:
Meagan Holmes
62496 Lori Skyway
Lake Felicia, MD 34738 US
Tel:+(578)176-7005
Email:zwall@example.net
Site:http://wallace.com/",USD,Invoice Date: 20-Nov-2015,2015-11-20,DISCOUNT(4.1%): (-)  25.98,-25.98,Due Date : 18-Apr-2011,2011-04-18,[],Thank you for choosing us!,"Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,"Port Lindsey, MP 98258 US",,,,Address:2180 Michael Ridges Apt. 385,"Address:2180 Michael Ridges Apt. 385 | Port Lindsey, MP 98258 US",,,SUB_TOTAL : 633.74  $,633.74,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",,COMMERCIAL INVOICE,TOTAL : 649.73 $,649.73,Template4_Instance106.json
