BUYER,BUYER_addr_line1,BUYER_addr_line2,BUYER_city_state_postal_country,BUYER_email,BUYER_name,BUYER_raw,BUYER_site,BUYER_tel,CURRENCY,DATE,DATE_NORM,DISCOUNT_AMOUNT,INVOICE_INFO,NOTE,NUMBER,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_NAME,SELLER_addr_line1,SELLER_addr_line2,SELLER_city_state_postal_country,SELLER_email,SELLER_name,SELLER_raw,SELLER_site,SELLER_tel,SUB_TOTAL,SUB_TOTAL_AMOUNT,TABLE,TAX,TAX_AMOUNT,TOTAL,TOTAL_AMOUNT,TOTAL_WORDS,_source_file
"Bill to:Robyn Johnson
233 Foster Gardens
Johnburgh, ID 41900 US
Tel:+(108)863-6905
Email:paul73@example.com
Site:http://www.jones.biz/",233 Foster Gardens,"Johnburgh, ID 41900 US",,paul73@example.com,Bill to:Robyn Johnson,"Bill to:Robyn Johnson | 233 Foster Gardens | Johnburgh, ID 41900 US | Tel:+(108)863-6905 | Email:paul73@example.com | Site:http://www.jones.biz/",http://www.jones.biz/,+(108)863-6905,USD,Date: 18-Jan-1999,1999-01-18,,[],Thank you for your business!,INVOICE ID 5Y3M7d-590,PO Number :84,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 677.45  USD,677.45,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.49%):  23.66 USD,23.66,BALANCE DUE : 677.33 USD,677.33,"Total in words:  six hundred and seventy-
-seven point three three",Template5_Instance0.json
"Buyer :Paul Brown
17969 Pratt Bypass Apt. 628
Markmouth, OR 78073 US
Tel:+(113)594-1668
Email:morankarla@example.com
Site:http://harvey-fuller.org/",17969 Pratt Bypass Apt. 628,"Markmouth, OR 78073 US",,morankarla@example.com,Buyer :Paul Brown,"Buyer :Paul Brown | 17969 Pratt Bypass Apt. 628 | Markmouth, OR 78073 US | Tel:+(113)594-1668 | Email:morankarla@example.com | Site:http://harvey-fuller.org/",http://harvey-fuller.org/,+(113)594-1668,USD,Invoice Date: 13-Apr-2008,2008-04-13,,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID 6553-163,PO Number :96,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 615.84  $,615.84,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.15%):  25.54 $,25.54,BALANCE DUE : 630.17 $,630.17,"Total in words:  six hundred and thi-
rty point one seven",Template5_Instance1.json
"Buyer :Patrick Rodriguez
9566 Vasquez Inlet
North Erica, IN 28285 US
Tel:+(432)188-1728
Email:ydavis@example.com
Site:http://stevens.com/",9566 Vasquez Inlet,"North Erica, IN 28285 US",,ydavis@example.com,Buyer :Patrick Rodriguez,"Buyer :Patrick Rodriguez | 9566 Vasquez Inlet | North Erica, IN 28285 US | Tel:+(432)188-1728 | Email:ydavis@example.com | Site:http://stevens.com/",http://stevens.com/,+(432)188-1728,USD,Date: 04-Aug-2020,2020-08-04,,[],Thank you for choosing us!,INVOICE # 6Y5M6d-746,PO Number :19,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 553.73  USD,553.73,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.49%):  24.86 USD,24.86,BALANCE DUE : 564.97 USD,564.97,"Total in words:  five hundred and sixty-
-four point nine seven",Template5_Instance10.json
"Buyer :Daniel Pierce
78347 Schultz Island
Buckfort, MD 18498 US
Tel:+(369)437-5540
Email:howellsharon@example.com
Site:https://kelley.com/",78347 Schultz Island,"Buckfort, MD 18498 US",,howellsharon@example.com,Buyer :Daniel Pierce,"Buyer :Daniel Pierce | 78347 Schultz Island | Buckfort, MD 18498 US | Tel:+(369)437-5540 | Email:howellsharon@example.com | Site:https://kelley.com/",https://kelley.com/,+(369)437-5540,USD,Invoice Date: 04-Oct-2022,2022-10-04,,[],"Note:
This order is shipped through blue dart courier",Invoice number INV94037759,PO Number :25,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 56.99  $,56.99,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.13%):  1.78 $,1.78,BALANCE DUE : 56.86 $,56.86,"Total in words:  fifty-six po-
int eight six",Template5_Instance100.json
"Bill to:Sean Nichols
35450 Brooke Freeway Suite 786
Jacksonchester, FM 62786 US
Tel:+(821)255-7277
Email:christopherlamb@example.org
Site:http://proctor.info/",35450 Brooke Freeway Suite 786,"Jacksonchester, FM 62786 US",,christopherlamb@example.org,Bill to:Sean Nichols,"Bill to:Sean Nichols | 35450 Brooke Freeway Suite 786 | Jacksonchester, FM 62786 US | Tel:+(821)255-7277 | Email:christopherlamb@example.org | Site:http://proctor.info/",http://proctor.info/,+(821)255-7277,USD,Invoice Date: 27-Jan-2009,2009-01-27,,[],Note:Total payment due in 14 days.,Invoice number 5Y2M7d-545,PO Number :62,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 143.83  USD,143.83,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.63%):  9.53 USD,9.53,BALANCE DUE : 151.09 USD,151.09,"Total in words:  one hundred and fift-
y-one point zero nine",Template5_Instance101.json
"Bill to:Hunter White
580 Johns Trafficway Apt. 099
Lake Elizabethfort, CA 70291 US
Tel:+(383)777-6857
Email:robbinsjoseph@example.net
Site:http://www.jackson-roberts.com/",580 Johns Trafficway Apt. 099,"Lake Elizabethfort, CA 70291 US",,robbinsjoseph@example.net,Bill to:Hunter White,"Bill to:Hunter White | 580 Johns Trafficway Apt. 099 | Lake Elizabethfort, CA 70291 US | Tel:+(383)777-6857 | Email:robbinsjoseph@example.net | Site:http://www.jackson-roberts.com/",http://www.jackson-roberts.com/,+(383)777-6857,EUR,Date: 25-Jul-2016,2016-07-25,,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number 1Y3M5d-291,PO Number :01,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 1141.81  EUR,1.81,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.32%):  72.16 EUR,72.16,BALANCE DUE : 1183.48 EUR,3.48,"Total in words:  one thousand, one hundred and-
eighty-three point four eight",Template5_Instance102.json
"Buyer :Steve Yang
28881 Nathaniel Squares Apt. 623
Tuckerburgh, AK 41164 US
Tel:+(989)868-6209
Email:elizabeth08@example.net
Site:http://smith-mcbride.com/",28881 Nathaniel Squares Apt. 623,"Tuckerburgh, AK 41164 US",,elizabeth08@example.net,Buyer :Steve Yang,"Buyer :Steve Yang | 28881 Nathaniel Squares Apt. 623 | Tuckerburgh, AK 41164 US | Tel:+(989)868-6209 | Email:elizabeth08@example.net | Site:http://smith-mcbride.com/",http://smith-mcbride.com/,+(989)868-6209,USD,Invoice Date: 09-Sep-2003,2003-09-09,,[],"Note:
This order is shipped through blue dart courier",Invoice number INV/80-18/089,PO Number :95,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 243.70  USD,243.7,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.90%):  11.93 USD,11.93,BALANCE DUE : 248.05 USD,248.05,"Total in words:  two hundred and forty-
-eight point zero five",Template5_Instance103.json
"Buyer :Kristina Wyatt
3064 Jennifer Vista
Victorbury, CO 45641 US
Tel:+(920)922-2490
Email:traceywoods@example.org
Site:https://johnson.com/",3064 Jennifer Vista,"Victorbury, CO 45641 US",,traceywoods@example.org,Buyer :Kristina Wyatt,"Buyer :Kristina Wyatt | 3064 Jennifer Vista | Victorbury, CO 45641 US | Tel:+(920)922-2490 | Email:traceywoods@example.org | Site:https://johnson.com/",https://johnson.com/,+(920)922-2490,USD,Invoice Date: 24-Jul-1995,1995-07-24,,[],"Note:
This order is shipped through blue dart courier",INVOICE ID 9Y6M4d-601,PO Number :59,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 825.02  $,825.02,"[[{'bbox': [[7.0, 474.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.17%):  34.39 $,34.39,BALANCE DUE : 818.98 $,818.98,"Total in words:  eight hundred and eig-
hteen point nine eight",Template5_Instance104.json
"Bill to:Nicole Smith
273 Kyle Manor
Lewisport, AZ 84916 US
Tel:+(207)653-3187
Email:louis28@example.net
Site:http://anderson.net/",273 Kyle Manor,"Lewisport, AZ 84916 US",,louis28@example.net,Bill to:Nicole Smith,"Bill to:Nicole Smith | 273 Kyle Manor | Lewisport, AZ 84916 US | Tel:+(207)653-3187 | Email:louis28@example.net | Site:http://anderson.net/",http://anderson.net/,+(207)653-3187,USD,Invoice Date: 30-Jul-2016,2016-07-30,,[],"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV/83-99/129,PO Number :36,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 874.60  USD,874.6,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.52%):  48.31 USD,48.31,BALANCE DUE : 905.33 USD,905.33,"Total in words:  nine hundred and fi-
ve point three three",Template5_Instance105.json
"Bill to:Amanda Price
82236 Barbara Glens Suite 121
Jenniferstad, MN 19295 US
Tel:+(431)330-7998
Email:loriwoodward@example.com
Site:https://rodriguez.com/",82236 Barbara Glens Suite 121,"Jenniferstad, MN 19295 US",,loriwoodward@example.com,Bill to:Amanda Price,"Bill to:Amanda Price | 82236 Barbara Glens Suite 121 | Jenniferstad, MN 19295 US | Tel:+(431)330-7998 | Email:loriwoodward@example.com | Site:https://rodriguez.com/",https://rodriguez.com/,+(431)330-7998,EUR,Date: 25-Dec-1997,1997-12-25,,[],"Note:
This order is shipped through blue dart courier",Invoice number 3823-367,PO Number :87,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,"Johnburgh, ID 41900 US",,,,Address:233 Foster Gardens,"Address:233 Foster Gardens | Johnburgh, ID 41900 US",,,SUB_TOTAL : 1035.24  EUR,5.24,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.68%):  58.83 EUR,58.83,BALANCE DUE : 1042.62 EUR,2.62,"Total in words:  one thousand and for-
ty-two point six two",Template5_Instance106.json
