BUYER,DATE,DISCOUNT,DUE_DATE,GSTIN_BUYER,GSTIN_SELLER,INVOICE_INFO,LOGO,NOTE,OTHER,PAYMENT_DETAILS,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_SITE,SUB_TOTAL,TABLE,TAX,TITLE,TOTAL,TOTAL_WORDS,_source_file
"Bill to:Denise Perez
16424 Timothy Mission
Markville, AK 58294 US
Tel:+(352)259-8443
Email:melvin40@example.net
Site:http://smith.org/",Date: 20-Mar-2008,DISCOUNT(1.85%): (-)  13.42,Due Date : 16-Oct-2016,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note:
This order is shipped through blue dart courier","TAX INVOICE

Date: 20-Mar-2008
Due Date : 16-Oct-2016
PO Number :35

Address:16424 Timothy Mission Bill to:Denise Perez

Markville, AK 58294 US 16424 Timothy Mission
Markville, AK 58294 US

Email:melvind0@example.net Tel: +(352)259-8443

sleekbill in Email:melvin40@example.net

(GSTIN: 12345670 00070007 Site:http://smith.org/

GSTIN: OG@AAMFCO376K124

ITEMS QUANTITY

Data score fire. 6.00

Determine half. 2.00
Model read. 1.00

Mother consider. 1.00

Tv focus. 4.00

Total in words: seven hundred and thirt-

y-four point three three SUB_TOTAL : 725.30 EUR
Bank Name State Bank of California DISCOUNT(1.85%): (-) 13.42
Branch Name Raf CAMP TAX:VAT (3.88%): 28.18 EUR

Bank Account Number 11695435
Bank Swift Code SBININBB250
TOTAL : 734.33 EUR

Note:
This order is shipped through blue dart courier
","Bank Name           State Bank of California
Branch Name          Raf CAMP
Bank Account Number  11695435
Bank Swift Code      SBININBB250",PO Number :35,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 725.30  EUR,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.88%):  28.18 EUR,TAX INVOICE,TOTAL : 734.33 EUR,"Total in words:  seven hundred and thirt-
y-four point three three",Template1_Instance0.json
"Buyer :Timothy Clark
62035 Daniel Cove Suite 917
Griffinport, ND 45912 US
Tel:+(038)419-8330
Email:millschristopher@example.com
Site:https://www.cole.com/",Date: 01-Apr-1994,DISCOUNT(2.1%): (-)  27.35,Due Date : 25-Nov-1999,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note:
This order is shipped through blue dart courier","Address:16424 Timothy Mission
Markville, AK 58294 US

Email:melvin40@example.net
sleekbill in
(GSTIN: 12345670 00070007

COMMERCIAL INVOICE

Date: 01-Apr-1994
Due Date : 25-Nov-1999
PO Number :76

Buyer :Timothy Clark

62035 Daniel Cove Suite 917
Griffinport, ND 45912 US
Tel:+(038)419-8330
Email:millschristopher@example.com
Site:https://www.cole.com/

GSTIN: OG@AAMFCO376K124

ITEMS

QUANTITY

Trial material.

6.00

Tend change what good.

2.00

Nearly often less.

6.00

Picture dream mouth.

2.00

Physical agency.

Total in words: one thousand, three hundred a-
nd fifty-seven point four nine

Bank Name Central Bank of Texas
Branch Name Raf CAMP

Bank Account Number 15150488

Bank Swift Code SBININBB250

Note:
This order is shipped through blue dart courier

5.00

SUB_TOTAL : 1302.22 EUR

DISCOUNT(2.1%): (-) 27.35
TAX:VAT (6.40%): 83.40 EUR

TOTAL : 1357.49 EUR
","Bank Name           Central Bank of Texas
Branch Name          Raf CAMP
Bank Account Number  15150488
Bank Swift Code      SBININBB250",PO Number :76,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 1302.22  EUR,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (6.40%):  83.40 EUR,COMMERCIAL INVOICE,TOTAL : 1357.49 EUR,"Total in words:  one thousand, three hundred a-
nd fifty-seven point four nine",Template1_Instance1.json
"Bill to:Angel Bailey
265 Ochoa Manors Apt. 518
North John, MD 41885 US
Tel:+(675)553-3428
Email:baileygary@example.net
Site:https://www.mccormick.com/",Invoice Date: 12-Mar-2009,DISCOUNT(3.67%): (-)  26.99,Due Date : 20-Jun-1995,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,Thank you for choosing us!,"Address:16424 Timothy Mission
Markville, AK 58294 US

Email:melvin40@example.net
sleekbill in
(GSTIN: 12345670 00070007

COMMERCIAL INVOICE

Invoice Date: 12-Mar-2009
Due Date : 20-Jun-1995
PO Number :46

Bill to:Angel Bailey

265 Ochoa Manors Apt. 518

North John, MD 41885 US
Tel:+(675)553-3428
Email:baileygary@example.net
Site:https:/;www.mccormick.com/

GSTIN: OG@AAMFCO376K124

ITEMS

QUANTITY

Heart why compare.

1.00

Generation task.

5.00

Most indeed.

6.00

Total in words: seven hundred and forty-
-four point three eight

Bank Name Central Bank of Europe
Branch Name Raf CAMP

Bank Account Number 10180775

Bank Swift Code SBININBB250

Thank you for choosing us!

SUB_TOTAL : 735.29 EUR

DISCOUNT(3.67%): (-) 26.99
TAX:VAT (3.10%): 22.77 EUR

TOTAL : 744.38 EUR
","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  10180775
Bank Swift Code      SBININBB250",PO Number :46,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 735.29  EUR,"[[{'bbox': [[10.0, 292.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.10%):  22.77 EUR,COMMERCIAL INVOICE,TOTAL : 744.38 EUR,"Total in words:  seven hundred and forty-
-four point three eight",Template1_Instance10.json
"Bill to:Daniel Dalton
3324 Price Divide Suite 903
North Pamela, GU 60539 US
Tel:+(080)666-8294
Email:mcdanielchristopher@example.net
Site:https://west.com/",Date: 17-Sep-2006,DISCOUNT(2.9%): (-)  27.99,Due Date : 14-Aug-2009,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","INVOICE

Date: 17-Sep-2006
Due Date : 14-Aug-2009
PO Number :27

Address:16424 Timothy Mission Bill to:Daniel Dalton
Markville, AK 58294 US 3324 Price Divide Suite 903

North Pamela, GU 60539 US
Email:melvind0@example.net Tel:+(080)666-8294
sleekbill in Email:mcdanielchristopher@example.net
(GSTIN: 12345670 00070007 Site:https://west.com/

GSTIN: OG@AAMFCO376K124

ITEMS QUANTITY

Return outside friend share. 2.00

Possible. 1.00
Week establish. 6.00

Trip along. 4.00

Ground official protect. 5.00

Total in words: nine hundred and sixt-

y-seven point zero two SUB_TOTAL : 965.24 EUR
Bank Name State Bank of Europe DISCOUNT(2.9%): (-) 27.99
Branch Name Raf CAMP TAX:VAT (3.36%): 32.47 EUR

Bank Account Number 16382672
Bank Swift Code SBININBB250
TOTAL : 967.02 EUR

Note: All payments to be made in cash.
Contact us for queries on these quotations.
","Bank Name           State Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  16382672
Bank Swift Code      SBININBB250",PO Number :27,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 965.24  EUR,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.36%):  32.47 EUR,INVOICE,TOTAL : 967.02 EUR,"Total in words:  nine hundred and sixt-
y-seven point zero two",Template1_Instance100.json
"Buyer :Dan Acosta
525 Michael Vista
North Kimberlychester, GU 17479 US
Tel:+(792)992-4731
Email:chelseaunderwood@example.com
Site:http://rivera.info/",Invoice Date: 06-Sep-2017,DISCOUNT(3.45%): (-)  21.2,Due Date : 16-May-2012,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note:
This order is shipped through blue dart courier","Address:16424 Timothy Mission
Markville, AK 58294 US

Email:melvin40@example.net
sleekbill in
(GSTIN: 12345670 00070007

TAX INVOICE

Invoice Date: 06-Sep-2017
Due Date : 16-May-2012
PO Number :04

Buyer :Dan Acosta

525 Michael Vista

North Kimberlychester, GU 17479 US
Tel:+(792)992-4731
Email:chelseaunderwood@example.com
Site:http://rivera.info/

GSTIN: OG@AAMFCO376K124

ITEMS

QUANTITY

President.

5.00

Seem however central.

2.00

Camera them.

1.00

Eye woman.

1.00

3.00

Third option Congress century.

Total in words: six hundred and twent-
y-six point two seven

Bank Name Central Bank of Europe
Branch Name Raf CAMP

Bank Account Number 17025461

Bank Swift Code SBININBB250

Note:
This order is shipped through blue dart courier

SUB_TOTAL : 614.54 USD

DISCOUNT(3.45%): (-) 21.2
TAX:VAT (4.18%): 25.68 USD

TOTAL : 626.27 USD
","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  17025461
Bank Swift Code      SBININBB250",PO Number :04,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 614.54  USD,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (4.18%):  25.68 USD,TAX INVOICE,TOTAL : 626.27 USD,"Total in words:  six hundred and twent-
y-six point two seven",Template1_Instance101.json
"Bill to:Troy Murray
07698 Jeremy Freeway Apt. 944
Baileyside, NM 63100 US
Tel:+(811)045-2978
Email:ymills@example.org
Site:http://wells-woodward.com/",Date: 29-Mar-2008,DISCOUNT(4.78%): (-)  20.83,Due Date : 25-Sep-2020,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","COMMERCIAL INVOICE

Date: 29-Mar-2008
Due Date : 25-Sep-2020
PO Number :98

Address:16424 Timothy Mission Bill to: Troy Murray

Markville, AK 58294 US 07698 Jeremy Freeway Apt. 944
Baileyside, NM 63100 US

Email:melvind0@example.net Tel:+(811)045-2978

sleekbill in Email:ymills@example.org

(GSTIN: 12345670 00070007 Site:http://wells-woodward.com/

GSTIN: OG@AAMFCO376K124

ITEMS QUANTITY

Themselves way. 1.00

Us price. 4.00

Song side. 2.00

Total in words: four hundred and fort-
y-four point four six

Bank Name Central Bank of Europe
Branch Name Raf CAMP

Bank Account Number 17190279

Bank Swift Code SBININBB250

Note: All payments to be made in cash.
Contact us for queries on these quotations.

SUB_TOTAL : 435.82 USD

DISCOUNT(4.78%): (-) 20.83
TAX:VAT (4.70%): 20.49 USD

TOTAL : 444.46 USD
","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  17190279
Bank Swift Code      SBININBB250",PO Number :98,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 435.82  USD,"[[{'bbox': [[10.0, 292.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (4.70%):  20.49 USD,COMMERCIAL INVOICE,TOTAL : 444.46 USD,"Total in words:  four hundred and fort-
y-four point four six",Template1_Instance102.json
"Bill to:Michele Turner DDS
7673 Kevin Isle
Robertfort, CT 51568 US
Tel:+(832)234-6947
Email:allenwilliam@example.org
Site:http://www.stafford.org/",Invoice Date: 06-Sep-2007,DISCOUNT(4.68%): (-)  37.71,Due Date : 24-Feb-2022,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:16424 Timothy Mission
Markville, AK 58294 US

Email:melvin40@example.net
sleekbill in
(GSTIN: 12345670 00070007

INVOICE

Invoice Date: 06-Sep-2007
Due Date : 24-Feb-2022
PO Number :25

Bill to:Michele Turner DDS

7673 Kevin Isle

Robertfort, CT 51568 US
Tel:+(832)234-6947
Email:allenwilliam@example.org
Site:http://www.stafford.org/

GSTIN: OG@AAMFCO376K124

ITEMS

QUANTITY

Rise east.

6.00

Stock hand watch.

2.00

Respond knowledge.

4.00

Machine.

2.00

Behavior.

5.00

Total in words: eight hundred and thir-
ty-nine point three one

Bank Name State Bank of Texas
Branch Name Raf CAMP

Bank Account Number 17572158

Bank Swift Code SBININBB250

Note: All payments to be made in cash.

Contact us for queries on these quotations.

SUB_TOTAL : 805.87 EUR

DISCOUNT(4.68%): (-) 37.74
TAX:VAT (6.27%): 50.52 EUR

TOTAL : 839.31 EUR
","Bank Name           State Bank of Texas
Branch Name          Raf CAMP
Bank Account Number  17572158
Bank Swift Code      SBININBB250",PO Number :25,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 805.87  EUR,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (6.27%):  50.52 EUR,INVOICE,TOTAL : 839.31 EUR,"Total in words:  eight hundred and thir-
ty-nine point three one",Template1_Instance103.json
"Bill to:Brandon Strong
98127 Hayes Burgs Apt. 011
North Rickyland, IA 36527 US
Tel:+(295)244-9610
Email:nicole58@example.net
Site:https://garcia.org/",Invoice Date: 18-Oct-2004,DISCOUNT(4.14%): (-)  26.18,Due Date : 12-Apr-2014,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,Thank you for choosing us!,"TAX INVOICE

Invoice Date: 18-Oct-2004
Due Date : 12-Apr-2014
PO Number :93

Address:16424 Timothy Mission Bill to:Brandon Strong

Markville, AK 58294 US 98127 Hayes Burgs Apt. 011
North Rickyland, IA 36527 US

Email:melvind0@example.net Tel:+(295)244-9610

sleekbill in Email:nicoleS58@example.net

(GSTIN: 12345670 00070007 Site:https://garcia.org/

GSTIN: OG@AAMFCO376K124

ITEMS QUANTITY
View exist southern. 1.00

North single some. 5.00

Left edge. 1.00

Difficult culture new. 2.00

Paper itself follow interest. 2.00

Total in words: six hundred and forty--

seven point three seven SUB_TOTAL : 632.25 USD
Bank Name State Bank of Europe DISCOUNT(4.14%): (-) 26.18
Branch Name Raf CAMP TAX:VAT (3.80%): 24.03 USD

Bank Account Number 13004366
Bank Swift Code SBININBB250
TOTAL : 647.37 USD

Thank you for choosing us!
","Bank Name           State Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  13004366
Bank Swift Code      SBININBB250",PO Number :93,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 632.25  USD,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (3.80%):  24.03 USD,TAX INVOICE,TOTAL : 647.37 USD,"Total in words:  six hundred and forty--
seven point three seven",Template1_Instance104.json
"Bill to:Albert Tyler
484 Williams Villages Suite 321
Lake Norma, SD 24816 US
Tel:+(323)014-8128
Email:brendayu@example.com
Site:https://bryan.net/",Invoice Date: 21-Sep-2006,DISCOUNT(3.15%): (-)  17.74,Due Date : 08-May-2006,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note:
This order is shipped through blue dart courier","INVOICE

Invoice Date: 21-Sep-2006
Due Date : 08-May-2006
PO Number :08

Address:16424 Timothy Mission Bill to:Albert Tyler

Markville, AK 58294 US 484 Williams Villages Suite 321
Lake Norma, SD 24816 US

Email:melvind0@example.net Tel:+(323)014-8128

sleekbill in Email:brendayu@example.com

(GSTIN: 12345670 00070007 Site:https://bryan.net/

GSTIN: OG@AAMFCO376K124

ITEMS QUANTITY

Management price. 5.00

Thousand hospital simply. 3.00

Total in words: five hundred and eigh-
ty-six point one four

Bank Name State Bank of California
Branch Name Raf CAMP

Bank Account Number 17902802

Bank Swift Code SBININBB250

Note:
This order is shipped through blue dart courier

SUB_TOTAL : 563.26 EUR

DISCOUNT(3.15%): (-) 17.74
TAX:VAT (6.42%): 36.17 EUR

TOTAL : 586.14 EUR
","Bank Name           State Bank of California
Branch Name          Raf CAMP
Bank Account Number  17902802
Bank Swift Code      SBININBB250",PO Number :08,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 563.26  EUR,"[[{'bbox': [[10.0, 274.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (6.42%):  36.17 EUR,INVOICE,TOTAL : 586.14 EUR,"Total in words:  five hundred and eigh-
ty-six point one four",Template1_Instance105.json
"Bill to:Mrs. Kristin Joyce
2842 Nelson Drives
West Bethborough, MH 50279 US
Tel:+(415)871-5401
Email:barrygarcia@example.com
Site:https://richardson.com/",Invoice Date: 05-Mar-2015,DISCOUNT(4.63%): (-)  20.8,Due Date : 11-Feb-2015,GSTIN: OG@AAMFCO376K124,(GSTIN: 12345670 00070007,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","Address:16424 Timothy Mission
Markville, AK 58294 US

Email:melvin40@example.net
sleekbill in
(GSTIN: 12345670 00070007

INVOICE

Invoice Date: 05-Mar-2015
Due Date : 11-Feb-2015
PO Number :35

Bill to:Mrs. Kristin Joyce

2842 Nelson Drives

West Bethborough, MH 50279 US
Tel:+(415)871-5401
Email:barrygarcia@example.com
Site:https://richardson.com/

GSTIN: OG@AAMFCO376K124

ITEMS

QUANTITY

Remain.

4.00

Born style.

4.00

Central tonight.

2.00

Full space face.

1.00

1.00

Resource show begin.

Total in words: four hundred and fift-
y-two point eight two

Bank Name Central Bank of Europe
Branch Name Raf CAMP

Bank Account Number 13525779

Bank Swift Code SBININBB250

Note: All payments to be made in cash.

Contact us for queries on these quotations.

SUB_TOTAL : 449.17 EUR

DISCOUNT(4.63%): (-) 20.8
TAX:VAT (5.41%): 24.31 EUR

TOTAL : 452.82 EUR
","Bank Name           Central Bank of Europe
Branch Name          Raf CAMP
Bank Account Number  13525779
Bank Swift Code      SBININBB250",PO Number :35,"Address:16424 Timothy Mission
Markville, AK 58294 US",Email:melvin40@example.net,www.ThompsonandSons.org,SUB_TOTAL : 449.17  EUR,"[[{'bbox': [[10.0, 328.88980000000004], [560.0, 220.8898]]}]]",TAX:VAT (5.41%):  24.31 EUR,INVOICE,TOTAL : 452.82 EUR,"Total in words:  four hundred and fift-
y-two point eight two",Template1_Instance106.json
