BUYER,DATE,GST(7%),GSTIN,INVOICE_INFO,LOGO,NUMBER,OTHER,SELLER_ADDRESS,SELLER_NAME,SUB_TOTAL,TABLE,TITLE,TOTAL,_source_file
"Bill to:Suzanne Sandoval
13868 Michael Wall
North Cindytown, CT 45483 US
Tel:+(836)744-4229
Email:ljames@example.org
Site:http://www.campbell-baker.com/",Invoice Date: 23-Feb-2014,GST(7%) : 45.21,GSTIN: 33123456789102Z1,[],,INVOICE # INV17967327,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Bill to: Suzanne Sandoval

13868 Michael Wall

North Cindytown, CT 45483 US
Tel:+(836)744-4229
Email:ljames@example.org
Site:http://www.campbell-baker.com/

INVOICE

INVOICE # INV17967327
Invoice Date: 23-Feb-2014

Description QUANTITY PRICE
Resource above real. 5.00 $87.40
Manage. 3.00 $66.60
Necessary newspaper. 3.00 $3.04

SUB_TOTAL : 645.92 $

GST(7%) : 45.21

TOTAL : 653.95 $

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 645.92  $,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",INVOICE,TOTAL : 653.95 $,Template2_Instance0.json
"Buyer :Anthony Brown
184 Christopher Ridge
Mitchellchester, MN 32776 US
Tel:+(298)995-0812
Email:ericmontgomery@example.org
Site:http://www.pierce.biz/",Date: 27-Mar-2008,GST(7%) : 51.08,GSTIN: 33123456789102Z1,[],,Invoice number 2Y9M4d-800,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Buyer :Anthony Brown

184 Christopher Ridge
Mitchellchester, MN 32776 US
Tel:+(298)995-0812
Email:ericmontgomery@example.org
Site:http://www.pierce.biz/

INVOICE

Invoice number 2Y9M4d-800
Date: 27-Mar-2008

Description QUANTITY PRICE
Key hotel. 6.00 $83.88
Professor market beautiful. 5.00 $12.31
Report tree. 6.00 $27.47

SUB_TOTAL : 729.65 USD

GST(7%) : 51.08

TOTAL : 739.31 USD

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 729.65  USD,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",INVOICE,TOTAL : 739.31 USD,Template2_Instance1.json
"Buyer :Marvin Smith
7611 Jesse Hollow Apt. 613
Port Andrewside, OK 89679 US
Tel:+(385)761-7629
Email:lmorris@example.net
Site:https://www.ramirez-cook.net/",Invoice Date: 01-Apr-2021,GST(7%) : 75.55,GSTIN: 33123456789102Z1,[],,INVOICE # 2533-604,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Buyer :Marvin Smith

7611 Jesse Hollow Apt. 613

Port Andrewside, OK 89679 US
Tel:+(385)761-7629
Email:lmorris@example.net
Site:https://www.ramirez-cook.net/

TAX INVOICE

INVOICE # 2533-604
Invoice Date: 01-Apr-2021

Description QUANTITY PRICE
Most notice. 4.00 $63.30
Under administration east. 6.00 $32.18
Social in center. 3.00 $93.18
Reveal maintain investment. 5.00 $70.69

SUB_TOTAL : 1079.27 $

GST(7%) : 75.55

TOTAL : 1107.09 $

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 1079.27  $,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",TAX INVOICE,TOTAL : 1107.09 $,Template2_Instance10.json
"Buyer :Katherine Mclaughlin
66384 Lisa Hollow
Port Rachelfort, GU 62290 US
Tel:+(428)286-4205
Email:xlucas@example.org
Site:https://www.campos-wagner.com/",Date: 09-Dec-2013,GST(7%) : 24.57,GSTIN: 33123456789102Z1,[],,INVOICE ID INV06961250,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Buyer :Katherine Mclaughlin

66384 Lisa Hollow

Port Rachelfort, GU 62290 US
Tel:+(428)286-4205
Email:xlucas@example.org
Site:https:/;www.campos-wagner.com/

COMMERCIAL INVOICE

INVOICE ID INV06961250
Date: 09-Dec-2013

Description QUANTITY PRICE
Owner owner leg method. 3.00 $91.72
Exactly even she need. 3.00 $25.28

SUB_TOTAL : 351.00 USD

GST(7%) : 24.57

TOTAL : 357.40 USD

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 351.00  USD,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 357.40 USD,Template2_Instance100.json
"Buyer :Tiffany Mendoza
10965 Sullivan Summit
Port Jeffrey, DC 98039 US
Tel:+(205)168-6734
Email:mcbridejasmine@example.org
Site:https://lara.biz/",Date: 10-Feb-1995,GST(7%) : 2.68,GSTIN: 33123456789102Z1,[],,INVOICE # 5701-821,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Buyer :Tiffany Mendoza
10965 Sullivan Summit

Port Jeffrey, DC 98039 US

Tel:+(205)168-6734

Email:mcbridejasmine@example.org

Site:https://lara.biz/

TAX INVOICE

INVOICE # 5701-821
Date: 10-Feb-1995

Description QUANTITY PRICE
Question particularly memory. 3.00 $2.81
Food note. 2.00 $14.94

SUB_TOTAL : 38.31 EUR

GST(7%) : 2.68

TOTAL : 37.88 EUR

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 38.31  EUR,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",TAX INVOICE,TOTAL : 37.88 EUR,Template2_Instance101.json
"Bill to:Maria Hoover
8174 Knight Center Apt. 180
Melanieborough, GA 30904 US
Tel:+(532)450-3638
Email:shannonparsons@example.org
Site:http://www.day.com/",Invoice Date: 07-Nov-2004,GST(7%) : 24.56,GSTIN: 33123456789102Z1,[],,Invoice number 1Y8M4d-252,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Bill to:Maria Hoover

8174 Knight Center Apt. 180
Melanieborough, GA 30904 US
Tel:+(532)450-3638
Email:shannonparsons@example.org
Site:http://www.day.com/

INVOICE

Invoice number 1Y8M4d-252
Invoice Date: 07-Nov-2004

Description QUANTITY PRICE
Show pay. 2.00 $50.40
Career sound police. 5.00 $50.02

SUB_TOTAL : 350.90 USD

GST(7%) : 24.56

TOTAL : 353.11 USD

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 350.90  USD,"[[{'bbox': [[20.0, 336.8898], [570.0, 282.8898]]}]]",INVOICE,TOTAL : 353.11 USD,Template2_Instance102.json
"Bill to:Michael Jones
4504 Tina Cliffs Suite 034
Kellyhaven, MI 80835 US
Tel:+(772)987-7343
Email:wadkins@example.com
Site:https://www.garcia.net/",Date: 13-May-1999,GST(7%) : 40.34,GSTIN: 33123456789102Z1,[],,INVOICE # INV53756945,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Bill to:Michael Jones

4504 Tina Cliffs Suite 034
Kellyhaven, MI 80835 US
Tel:+(772)987-7343
Email:wadkins@example.com
Site:https://www.garcia.net/

INVOICE

INVOICE # INV53756945
Date: 13-May-1999

Description QUANTITY PRICE
Project interview. 5.00 $78.59
Floor. 2.00 $5.08

Interview eat letter. 2.00 $56.32
Save consumer food. 2.00 $30.30

SUB_TOTAL : 576.35 $

GST(7%) : 40.34

TOTAL : 571.42 $

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 576.35  $,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",INVOICE,TOTAL : 571.42 $,Template2_Instance103.json
"Buyer :Emily Gordon
582 Blake Meadow Apt. 421
Donaldhaven, MH 13167 US
Tel:+(701)792-5827
Email:espinozajoseph@example.org
Site:http://walker.com/",Date: 18-Apr-1994,GST(7%) : 44.12,GSTIN: 33123456789102Z1,[],,INVOICE ID 8309-658,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Buyer :Emily Gordon

582 Blake Meadow Apt. 421
Donaldhaven, MH 13167 US
Tel:+(701)792-5827
Email:espinozajoseph@example.org
Site:http://walker.com/

COMMERCIAL INVOICE

INVOICE ID 8309-658
Date: 18-Apr-1994

Description QUANTITY PRICE
College. 1.00 $42.03
Agree data build gas. 6.00 $41.36
Body organization. 6.00 $56.68

SUB_TOTAL : 630.27 $

GST(7%) : 44.12

TOTAL : 641.62 $

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 630.27  $,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 641.62 $,Template2_Instance104.json
"Buyer :Diana Frey
819 Paul Prairie
Jonesborough, MP 38972 US
Tel:+(769)153-1879
Email:brownmaria@example.org
Site:http://parks.com/",Date: 25-Jun-1995,GST(7%) : 109.27,GSTIN: 33123456789102Z1,[],,Invoice number 7Y5M7d-024,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Buyer :Diana Frey

819 Paul Prairie

Jonesborough, MP 38972 US
Tel:+(769)153-1879
Email:brownmaria@example.org
Site:http://parks.com/

COMMERCIAL INVOICE

Invoice number 7Y5M7d-024
Date: 25-Jun-1995

Description QUANTITY PRICE
Growth exist. 5.00 $99.38
Responsibility modern truth. 1.00 $13.13
The talk structure chance. 6.00 $92.97
Talk interview past. 6.00 $82.18

SUB_TOTAL : 1560.93 EUR

GST(7%) : 109.27

TOTAL : 1604.79 EUR

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 1560.93  EUR,"[[{'bbox': [[20.0, 372.8898], [570.0, 282.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 1604.79 EUR,Template2_Instance105.json
"Bill to:Amanda Gross
6095 Mark Creek Apt. 795
Laurabury, OH 76369 US
Tel:+(299)889-7825
Email:ortizphilip@example.com
Site:https://bailey-mcintyre.com/",Date: 11-Nov-2000,GST(7%) : 49.08,GSTIN: 33123456789102Z1,[],,INVOICE # INV/91-46/641,"Chargebee

Address:13868 Michael Wall
North Cindytown, CT 45483 US

GSTIN: 33123456789102Z1

Bill to: Amanda Gross

6095 Mark Creek Apt. 795
Laurabury, OH 76369 US
Tel:+(299)889-7825
Email:ortizphilip@example.com
Site:https://bailey-mcintyre.com/

COMMERCIAL INVOICE

INVOICE # INV/91-46/641
Date: 11-Nov-2000

Description QUANTITY PRICE
Change culture know. 1.00 $12.73
Step budget administration. 5.00 $84.51
Possible school establish life. 6.00 $44.31

SUB_TOTAL : 701.14 USD

GST(7%) : 49.08

TOTAL : 735.94 USD

","Address:13868 Michael Wall
North Cindytown, CT 45483 US","Barnes, Garcia and Martin",SUB_TOTAL : 701.14  USD,"[[{'bbox': [[20.0, 354.8898], [570.0, 282.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 735.94 USD,Template2_Instance106.json
