BILL_TO,DATE,DUE_DATE,INVOICE_INFO,LOGO,NOTE,NUMBER,OTHER,PO_NUMBER,SELLER_NAME,TABLE,TAX,TITLE,TOTAL,TOTAL_WORDS,_source_file
"BILL_TO:
Sarah Ross
073 Ayers Street Apt. 371
Lake James, MO 83191 US
Tel:+(546)285-1820
Email:matthew89@example.net
Site:http://anderson.com/",Date: 03-Mar-2002,Due Date : 20-Aug-2007,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID INV16291505,"INVOICE

NK.NAG & CO,

Date: 03-Mar-2002
INVOICE ID INV16291505
PO Number :82

BILL_TO:

Sarah Ross

073 Ayers Street Apt. 371

Lake James, MO 83191 US
Tel:+(546)285-1820
Email:matthew89@example.net
Site:http://anderson.com/

Due Date : 20-Aug-2007

030502 | Clearly four. 32.75 196.50

886513 _| Drive money fill. 28.30 141.50

[5.00 | 421612 72.98 364.90

16.00 | 601616 _| You usually partner. 76.19 457.14
963525 __| Trial would. 43.48 173.92

. 0, .
Note: All payments to be made in cash. TENA (GABA GES

Contact us for queries on these quotations. TOTAL : 1377.77 $

Total in words: one thousand, three hundred and-
seventy-seven point seven seven
",PO Number :82,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.46%):  86.23 $,INVOICE,TOTAL : 1377.77 $,"Total in words:  one thousand, three hundred and-
seventy-seven point seven seven",Template3_Instance0.json
"BILL_TO:
Jennifer Leblanc
938 Gonzalez Courts Apt. 670
Kelliville, MH 96325 US
Tel:+(535)274-2993
Email:pauljimenez@example.com
Site:http://www.thomas-harris.info/",Invoice Date: 06-Aug-2017,Due Date : 17-Sep-2021,[],,Thank you for choosing us!,INVOICE # 1Y7M4d-846,"COMMERCIAL INVOICE
NK.NAG & CO,

Invoice Date: 06-Aug-2017
INVOICE # 1Y7M4d-846
PO Number :16

BILL_TO:

Jennifer Leblanc

938 Gonzalez Courts Apt. 670
Kelliville, MH 96325 US
Tel:+(535)274-2993
Email:pauljimenez@example.com
Site:http://www.thomas-harris.info/

Due Date : 17-Sep-2021

[4.00 | 435713 27.39 109.56

[4.00 | 440257
6.00 | 749190 37.99 227.94

TAX:VAT (5.43%): 18.60 USD

Thank you for choosing us!
TOTAL : 350.43 USD

Total in words: three hundred and fi-
fty point four three
",PO Number :16,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.43%):  18.60 USD,COMMERCIAL INVOICE,TOTAL : 350.43 USD,"Total in words:  three hundred and fi-
fty point four three",Template3_Instance1.json
"BILL_TO:
Mr. John Gray
013 Hayes Route Apt. 589
Susanland, AR 17782 US
Tel:+(151)966-0393
Email:alexandersheila@example.org
Site:http://www.lee-thompson.com/",Invoice Date: 25-Nov-2014,Due Date : 10-Jan-2013,[],,Note:Total payment due in 14 days.,Invoice number 5Y4M5d-345,"COMMERCIAL INVOICE

NK.NAG & CO,

Invoice Date: 25-Nov-2014

Invoice number 5Y4M5d-345
PO Number :06

BILL_TO:

Mr. John Gray

013 Hayes Route Apt. 589
Susanland, AR 17782 US
Tel:+(151)966-0393
Email:alexandersheila@example.org
Site:http://www.lee-thompson.com/

Due Date : 10-Jan-2013

laty lin | Deseription | Unit price | Amoun

'2.00 _| 738111 _| Campaian family whatever. 43.78 87.56
'1.00 | 837647 _| Write long instead. 35.79 35.79

TAX:VAT (6.16%): 7.60 EUR
TOTAL : 126.98 EUR

Note:Total payment due in 14 days.

Total in words: one hundred and twent-
y-six point nine eight
",PO Number :06,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.16%):  7.60 EUR,COMMERCIAL INVOICE,TOTAL : 126.98 EUR,"Total in words:  one hundred and twent-
y-six point nine eight",Template3_Instance10.json
"BILL_TO:
Rachel Garza
41913 Paul Drives
Port Jonathanmouth, WV 07494 US
Tel:+(640)086-2296
Email:aaron98@example.com
Site:https://smith.net/",Date: 17-Jun-2009,Due Date : 19-Feb-1998,[],,"Note:
This order is shipped through blue dart courier",INVOICE # INV/70-41/903,"TAX INVOICE

NK.NAG & CO,

Date: 17-Jun-2009

INVOICE # INV/70-41/903
PO Number :44

BILL_TO:

Rachel Garza

41913 Paul Drives

Port Jonathanmouth, WV 07494 US
Tel:+(640)086-2296
Email:aaron98@example.com
Site:https://smith.net/

Due Date : 19-Feb-1998

laty lin | Deseription | Unit price | Amoun

685790 _| Career father. 37.61 150.44

012383 _| Late break. 42.24

Note: TAX:VAT (6.22%): 11.99 USD
This order is shipped through blue dart courier TOTAL : 196.23 USD

Total in words: one hundred and ninet-
y-six point two three
",PO Number :44,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 372.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.22%):  11.99 USD,TAX INVOICE,TOTAL : 196.23 USD,"Total in words:  one hundred and ninet-
y-six point two three",Template3_Instance100.json
"BILL_TO:
Kelly Snyder
81132 Parsons Lodge
Jamesfurt, MA 36804 US
Tel:+(671)430-2079
Email:jessicaboyer@example.net
Site:http://lewis.info/",Invoice Date: 10-Aug-1999,Due Date : 15-May-2006,[],,Note:Total payment due in 14 days.,INVOICE ID INV79204732,"COMMERCIAL INVOICE

NK.NAG & CO,

Invoice Date: 10-Aug-1999
INVOICE ID INV79204732
PO Number :08

BILL_TO:

Kelly Snyder

81132 Parsons Lodge

Jamesfurt, MA 36804 US
Tel:+(671)430-2079
Email:jessicaboyer@example.net
Site:http://lewis.info/

Due Date : 15-May-2006

146922 99.86 399.44

15.00 | 896755 _| Executive their. 73.48 367.40
15.00 | 539279 _| Character cold. 27.22 136.10

16.00 | 159085 _| Recognize stop brother. 38.54 231.24

TAX:VAT (6.85%): 77.71 $
TOTAL : 1155.97 $

Note:Total payment due in 14 days.

Total in words: one thousand, one hundred an-
d fifty-five point nine seven
",PO Number :08,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.85%):  77.71 $,COMMERCIAL INVOICE,TOTAL : 1155.97 $,"Total in words:  one thousand, one hundred an-
d fifty-five point nine seven",Template3_Instance101.json
"BILL_TO:
Richard Fields
53129 Kimberly Place Suite 394
Gomezton, MN 21479 US
Tel:+(849)775-7497
Email:wadebenjamin@example.org
Site:http://ross.com/",Invoice Date: 03-Jun-2012,Due Date : 24-Dec-1995,[],,"Note:
This order is shipped through blue dart courier",Invoice number 1099-670,"INVOICE

NK.NAG & CO,

Invoice Date: 03-Jun-2012

Invoice number 1099-670
PO Number :35

BILL_TO:

Richard Fields

53129 Kimberly Place Suite 394
Gomezton, MN 21479 US
Tel:+(849)775-7497
Email:wadebenjamin@example.org
Site:http://ross.com/

Due Date : 24-Dec-1995

[6.00 | 079453 73.15 442.50

11.00 | 108329 6.03
15.00 | 965075 _| Strong east like. 81.93 409.65

[5.00 | 682744 23.24 116.20

Note: TAX:VAT (6.75%): 65.81 $
This order is shipped through blue dart courier TOTAL : 1006.96 $

Total in words: one thousand and -
six point nine six
",PO Number :35,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (6.75%):  65.81 $,INVOICE,TOTAL : 1006.96 $,"Total in words:  one thousand and -
six point nine six",Template3_Instance102.json
"BILL_TO:
Debbie Ramirez
81810 Miller Key Apt. 462
Kimberlyport, MP 99762 US
Tel:+(759)455-2161
Email:robertvaughn@example.com
Site:https://brown-miller.com/",Invoice Date: 03-Jan-2016,Due Date : 14-Mar-2005,[],,Thank you for choosing us!,INVOICE ID 7Y1M5d-285,"INVOICE

NK.NAG & CO,

Invoice Date: 03-Jan-2016

INVOICE ID 7Y1M5d-285
PO Number :63

BILL_TO:

Debbie Ramirez

81810 Miller Key Apt. 462
Kimberlyport, MP 99762 US
Tel:+(759)455-2161
Email:robertvaughn@example.com
Site:https://brown-miller.com/

Due Date : 14-Mar-2005

493486 | Among trade score most. 44.62 44.62

[5.00 | 942618 13.09 65.45

961721 __| Significant alone weight baby. 64.37 321.85
219861 _| Left lose. 42.75 85.50

TAX:VAT (5.85%): 30.28 USD
TOTAL : 527.93 USD

Thank you for choosing us!

Total in words: five hundred and twenty-
-seven point nine three
",PO Number :63,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 408.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.85%):  30.28 USD,INVOICE,TOTAL : 527.93 USD,"Total in words:  five hundred and twenty-
-seven point nine three",Template3_Instance103.json
"BILL_TO:
Jonathon Robinson
8371 Eric Turnpike
Fosterton, FM 96947 US
Tel:+(167)450-3820
Email:williamsolivia@example.org
Site:https://chapman.org/",Date: 18-May-2002,Due Date : 07-Feb-1998,[],,"Note:
This order is shipped through blue dart courier",INVOICE ID 5Y1M7d-763,"INVOICE

NK.NAG & CO,

Date: 18-May-2002
INVOICE ID 5Y1M7d-763
PO Number :61

BILL_TO:

Jonathon Robinson

8371 Eric Turnpike

Fosterton, FM 96947 US
Tel:+(167)450-3820
Email:williamsolivia@example.org
Site:https://chapman.org/

Due Date : 07-Feb-1998

037117 _| Even friend reveal. 79.56 159.12
241033 Central to attention project. 96.63 386.52

189119 10.29 61.74
744499 79.98 159.96
691939 49.07 196.28

Note: TAX:VAT (3.92%): 37.77 EUR
This order is shipped through blue dart courier TOTAL : 965.35 EUR

Total in words: nine hundred and sixty-
-five point three five
",PO Number :61,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (3.92%):  37.77 EUR,INVOICE,TOTAL : 965.35 EUR,"Total in words:  nine hundred and sixty-
-five point three five",Template3_Instance104.json
"BILL_TO:
Kristen Suarez
985 May Rapids
Solisfort, IA 68833 US
Tel:+(033)133-6640
Email:kellywilliam@example.org
Site:https://cross-hicks.com/",Date: 21-Mar-1995,Due Date : 05-May-2018,[],,Note:Total payment due in 14 days.,INVOICE ID 1Y3M8d-692,"TAX INVOICE

NK.NAG & CO,

Date: 21-Mar-1995
INVOICE ID 1Y3M8d-692
PO Number :28

BILL_TO:

Kristen Suarez

985 May Rapids

Solisfort, IA 68833 US
Tel:+(033)133-6640
Email:kellywilliam@example.org
Site:https://cross-hicks.com/

Due Date : 05-May-2018

790577 11.67 23.34
383530 __| Weight some around. 43.50 87.00

196782 | And member measure develop. 48.91 48.91
'6.00 | 754622 | Method employee information. 55.92 335.52

[3.00 | 447749 71.34 214.02

TAX:VAT (4.39%): 31.13 USD
TOTAL : 704.62 USD

Note:Total payment due in 14 days.

Total in words: seven hundred and -
four point six two
",PO Number :28,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 426.8898], [543.0, 318.8898]]}]]",TAX:VAT (4.39%):  31.13 USD,TAX INVOICE,TOTAL : 704.62 USD,"Total in words:  seven hundred and -
four point six two",Template3_Instance105.json
"BILL_TO:
Elizabeth Horton MD
216 Lee Locks Apt. 726
North Wendy, VI 87852 US
Tel:+(531)188-1874
Email:john99@example.net
Site:https://www.mccullough.net/",Invoice Date: 02-Aug-1996,Due Date : 20-Dec-1996,[],,Note:Total payment due in 14 days.,INVOICE # INV/82-56/794,"TAX INVOICE

NK.NAG & CO,

Invoice Date: 02-Aug-1996

INVOICE # INV/82-56/794
PO Number :59

BILL_TO:

Elizabeth Horton MD

216 Lee Locks Apt. 726

North Wendy, VI 87852 US
Tel:+(531)188-1874
Email:john99@example.net
Site:https://www.mccullough.net/

Due Date : 20-Dec-1996

6.00 | 344815 64.07 384.42

[5.00 | 267148 52.27 261.35

533834 _| Call ask.

TAX:VAT (5.73%): 37.12 EUR
TOTAL : 653.15 EUR

Note:Total payment due in 14 days.

Total in words: six hundred and fifty-
-three point one five
",PO Number :59,"Kirk, Murphy and Daniels","[[{'bbox': [[3.0, 390.8898], [543.0, 318.8898]]}]]",TAX:VAT (5.73%):  37.12 EUR,TAX INVOICE,TOTAL : 653.15 EUR,"Total in words:  six hundred and fifty-
-three point one five",Template3_Instance106.json
