BILL_TO,DATE,DISCOUNT,DUE_DATE,INVOICE_INFO,LOGO,NOTE,OTHER,SELLER_ADDRESS,SELLER_NAME,SUB_TOTAL,TABLE,TITLE,TOTAL,_source_file
"BILL_TO:
Colleen Ellis
37379 Harris Spurs Suite 707
West Erika, OH 34948 US
Tel:+(739)651-6233
Email:amanda56@example.org
Site:https://conrad-smith.com/",Invoice Date: 12-Oct-1994,DISCOUNT(2.39%): (-)  23.71,Due Date : 31-May-2022,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

TAX INVOICE TOTAL : 995.15 USD
BILL_TO:
Colleen Ellis
37379 Harris Spurs Suite 707 Due Date : 31-May-2022

West Erika, OH 34948 US
Tel:+(739)651-6233
Email:amanda56@example.org
Site:https://conrad-smith.com/

Invoice Date: 12-Oct-1994

Description QUANTITY PRICE
Fly. 2.00 $6.04

Generation focus toward. 6.00 $95.67
Finish brother knowledge. 2.00 $75.32
Friend. 5.00 $51.06

SUB_TOTAL : 992.04 USD
DISCOUNT(2.39%): (-) 23.74

Thank you for choosing us!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 992.04  USD,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 995.15 USD,Template4_Instance0.json
"BILL_TO:
Vicki Brennan
163 Richard Station
Travischester, ND 67073 US
Tel:+(668)889-2175
Email:zturner@example.net
Site:https://www.rose-harris.biz/",Date: 20-Jan-2004,DISCOUNT(4.3%): (-)  34.07,Due Date : 26-Apr-2016,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

INVOICE TOTAL : 806.53 EUR
BILL_TO:
Vicki Brennan
163 Richard Station Due Date : 26-Apr-2016

Travischester, ND 67073 US
Tel:+(668)889-2175
Email:zturner@example.net
Site:https://www.rose-harris.biz/

Date: 20-Jan-2004

Description QUANTITY PRICE
Set home. 3.00 $98.20
Enough which board. 5.00 $68.13
Fish book note people. 2.00 $0.40

Example pressure suddenly. 2.00 $78.13

SUB_TOTAL : 792.31 EUR
DISCOUNT(4.3%): (-) 34.07

Thank you for choosing us!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 792.31  EUR,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 806.53 EUR,Template4_Instance1.json
"BILL_TO:
Misty Smith
08158 Michael Track Apt. 253
Royfurt, NC 07390 US
Tel:+(943)172-9606
Email:hsalas@example.net
Site:http://www.martinez.com/",Invoice Date: 21-Apr-2011,DISCOUNT(4.95%): (-)  23.34,Due Date : 19-Oct-1997,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Misty Smith

08158 Michael Track Apt. 253
Royfurt, NC 07390 US
Tel:+(943)172-9606
Email:hsalas@example.net
Site:http:/(www.martinez.com/

TOTAL : 487.65 $

Due Date : 19-Oct-1997

Invoice Date: 21-Apr-2011

Description QUANTITY PRICE
Already voice. 6.00 $63.05
Cup coach operation. 3.00 $31.09

SUB_TOTAL : 471.57 $
DISCOUNT(4.95%): (-) 23.34

Note:Total payment due in 14 days.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 471.57  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 487.65 $,Template4_Instance10.json
"BILL_TO:
Shannon Knight
187 Brittany Branch
Andrewhaven, PW 20357 US
Tel:+(505)360-9082
Email:pauldixon@example.org
Site:http://flores.net/",Date: 30-Oct-1994,DISCOUNT(3.95%): (-)  11.14,Due Date : 14-Nov-2005,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE TOTAL : 285.06 USD
BILL_TO:
Shannon Knight
187 Brittany Branch Due Date : 14-Nov-2005

Andrewhaven, PW 20357 US
Tel:+(505)360-9082
Email:pauldixon@example.org
Site:http://flores.net/

Date: 30-Oct-1994

Description QUANTITY PRICE
Involve. 1.00 $4.98

Boy middle blue. 1.00 $94.63
Evening the. 3.00 $60.81

SUB_TOTAL : 282.04 USD
DISCOUNT(3.95%): (-) 11.14

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 282.04  USD,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 285.06 USD,Template4_Instance100.json
"BILL_TO:
Gary Miller
359 Emily Lock
Allisonmouth, CO 62577 US
Tel:+(688)305-9332
Email:patrickriley@example.org
Site:http://www.lawrence-perkins.com/",Date: 29-Oct-2019,DISCOUNT(4.97%): (-)  55.77,Due Date : 25-Nov-2009,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

Gary Miller

359 Emily Lock

Allisonmouth, CO 62577 US
Tel:+(688)305-9332
Email:patrickriley@example.org
Site:http://www.lawrence-perkins.com/

TOTAL : 1124.73 $

Due Date : 25-Nov-2009

Date: 29-Oct-2019

Description QUANTITY PRICE
Ask reach. 5.00 $51.62
Garden. 5.00 $30.45
Against present result. 3.00 $94.02
Improve probably boy. 2.00 $93.80
Tonight employee protect. 3.00 $80.74

SUB_TOTAL : 1122.23 $
DISCOUNT(4.97%): (-) 55.77

Note: All payments to be made in cash.
Contact us for queries on these quotations.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1122.23  $,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 1124.73 $,Template4_Instance101.json
"BILL_TO:
Shane Cabrera
22488 Flowers Spring
Davidshire, WY 94037 US
Tel:+(763)102-5132
Email:codygalvan@example.net
Site:https://montgomery-olson.biz/",Invoice Date: 06-Dec-2015,DISCOUNT(1.86%): (-)  14.51,Due Date : 28-Feb-2003,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Shane Cabrera

22488 Flowers Spring

Davidshire, WY 94037 US
Tel:+(763)102-5132
Email:codygalvan@example.net
Site:https://montgomery-olson.biz/

TOTAL : 789.09 EUR

Due Date : 28-Feb-2003

Invoice Date: 06-Dec-2015

Description QUANTITY PRICE
Example list skin. 6.00 $95.89
Clear. 1.00 $53.11
Reason improve. 2.00 $75.95

SUB_TOTAL : 780.35 EUR
DISCOUNT(1.86%): (-) 14.51

Note:Total payment due in 14 days.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 780.35  EUR,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 789.09 EUR,Template4_Instance102.json
"BILL_TO:
Debbie Donaldson
1008 Anderson Stravenue Suite 973
Mossfurt, PA 93919 US
Tel:+(748)298-6060
Email:eric59@example.org
Site:https://roberts.com/",Invoice Date: 08-Jan-2014,DISCOUNT(3.33%): (-)  7.07,Due Date : 25-Nov-2004,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

TAX INVOICE TOTAL : 208.93 $
BILL_TO:
Debbie Donaldson
1008 Anderson Stravenue Suite 973 Due Date : 25-Nov-2004

Mossfurt, PA 93919 US
Tel:+(748)298-6060
Email:eric59@example.org
Site:https://roberts.com/

Invoice Date: 08-Jan-2014

Description QUANTITY PRICE
Financial build before. 2.00 $99.97
Describe environment standard. 5.00 $2.50

SUB_TOTAL : 212.44 $
DISCOUNT(3.33%): (-) 7.07

Note:Total payment due in 14 days.
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 212.44  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 208.93 $,Template4_Instance103.json
"BILL_TO:
Beth Valencia
74534 Edwards Springs Suite 286
Port Sharon, WI 62260 US
Tel:+(442)912-4741
Email:bensontyler@example.com
Site:https://www.sandoval.com/",Date: 21-Mar-2005,DISCOUNT(3.43%): (-)  22.85,Due Date : 30-Aug-2010,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE TOTAL : 676.38 $
BILL_TO:
Beth Valencia
74534 Edwards Springs Suite 286 Due Date : 30-Aug-2010

Port Sharon, WI 62260 US
Tel:+(442)912-4741
Email:bensontyler@example.com
Site:https://www.sandoval.com/

Date: 21-Mar-2005

Description QUANTITY PRICE
Project north free amount. 6.00 $36.23
Become type effect lot. 5.00 $57.12
Clear seven wrong political. 5.00 $32.62

SUB_TOTAL : 666.08 $
DISCOUNT(3.43%): (-) 22.85

Thank you for choosing us!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 666.08  $,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 676.38 $,Template4_Instance104.json
"BILL_TO:
Lee Wilkinson
3689 Derrick Camp Suite 543
Smithshire, AR 59059 US
Tel:+(612)275-2222
Email:patricia73@example.net
Site:http://smith-walker.com/",Invoice Date: 02-Nov-2012,DISCOUNT(1.56%): (-)  16.33,Due Date : 03-Jul-2015,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE TOTAL : 1049.43 EUR
BILL_TO:
Lee Wilkinson
3689 Derrick Camp Suite 543 Due Date : 03-Jul-2015
Smithshire, AR 59059 US
Tel:#(612)275-2222 Invoice Date: 02-Nov-2012

Email:patricia73@example.net
Site:http://smith-walker.com/

Description QUANTITY PRICE
Along sometimes institution. 6.00 $92.21
Available already range. 4.00 $77.84
According office hour. 2.00 $31.61
That rich successful. 3.00 $39.75

SUB_TOTAL : 1047.09 EUR
DISCOUNT(1.56%): (-) 16.33

Note:
This order is shipped through blue dart courier
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1047.09  EUR,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 1049.43 EUR,Template4_Instance105.json
"BILL_TO:
Meagan Holmes
62496 Lori Skyway
Lake Felicia, MD 34738 US
Tel:+(578)176-7005
Email:zwall@example.net
Site:http://wallace.com/",Invoice Date: 20-Nov-2015,DISCOUNT(4.1%): (-)  25.98,Due Date : 18-Apr-2011,[],,Thank you for choosing us!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Meagan Holmes

62496 Lori Skyway

Lake Felicia, MD 34738 US
Tel:+(578)176-7005
Email:zwall@example.net
Site:http://wallace.com/

TOTAL : 649.73 $

Due Date : 18-Apr-2011

Invoice Date: 20-Nov-2015

Description QUANTITY PRICE
Media together. 6.00 $87.13
Paper old ten compare. 4.00 $27.74

SUB_TOTAL : 633.74 $
DISCOUNT(4.1%): (-) 25.98

Thank you for choosing us!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 633.74  $,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 649.73 $,Template4_Instance106.json
"BILL_TO:
Seth Gardner
23694 Brady Plaza
Bestfort, WI 94277 US
Tel:+(263)884-5212
Email:matthewdaniel@example.com
Site:https://murphy.org/",Invoice Date: 14-Oct-2012,DISCOUNT(1.04%): (-)  11.49,Due Date : 19-Jan-2009,[],,Thank you for your business!,"INVOICE

BILL_TO:

Seth Gardner

23694 Brady Plaza
Bestfort, WI 94277 US
Tel:+(263)884-5212

tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

Email:matthewdaniel@example.com

Site:https://murphy.org/

TOTAL : 1114.00 EUR

Due Date : 19-Jan-2009

Invoice Date: 14-Oct-2012

Description QUANTITY PRICE
Cup fund. 5.00 $86.86
Happen life party happy. 4.00 $92.57
Decide answer cell. 1.00 $84.40
In yard. 3.00 $67.72
Action simply. 1.00 $12.29

SUB_TOTAL : 1104.43 EUR
DISCOUNT(1.04%): (-) 11.49

Thank you for your business!

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1104.43  EUR,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 1114.00 EUR,Template4_Instance107.json
"BILL_TO:
David Ballard
1084 Meyer Mountains Apt. 323
Hernandezchester, WV 87540 US
Tel:+(442)633-6015
Email:lvance@example.com
Site:https://sanchez.net/",Date: 10-Oct-2010,DISCOUNT(3.4%): (-)  15.7,Due Date : 28-Sep-2014,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

INVOICE TOTAL : 461.82 $
BILL_TO:
David Ballard
1084 Meyer Mountains Apt. 323 Due Date : 28-Sep-2014

Hernandezchester, WV 87540 US
Tel:+(442)633-6015
Email:lvance@example.com
Site:https://sanchez.net/

Date: 10-Oct-2010

Description QUANTITY PRICE
Area nearly smile. 6.00 $24.69
Claim should summer century. 4.00 $54.76
Develop fact. 3.00 $28.89
Field fire. 1.00 $7.80

SUB_TOTAL : 461.65 $
DISCOUNT(3.4%): (-) 15.7

Note:
This order is shipped through blue dart courier
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 461.65  $,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 461.82 $,Template4_Instance108.json
"BILL_TO:
Zachary Peterson
1850 Harris Plaza Suite 682
Heatherhaven, MO 47949 US
Tel:+(819)393-4839
Email:jennifercoleman@example.org
Site:http://www.evans.info/",Date: 15-Dec-2007,DISCOUNT(1.84%): (-)  24.02,Due Date : 14-Mar-1996,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

COMMERCIAL INVOICE TOTAL : 1313.86 USD
BILL_TO:
Zachary Peterson
1850 Harris Plaza Suite 682 Due Date : 14-Mar-1996

Heatherhaven, MO 47949 US
Tel:+(819)393-4839
Email:jennifercoleman@example.org
Site:http://www.evans.info/

Date: 15-Dec-2007

Description QUANTITY PRICE
Factor especially. 2.00 $29.44
Any resource score. 1.00 $87.29
Pull tell. 6.00 $43.25
Look. 6.00 $87.33
Stay majority general onto. 6.00 $62.66

SUB_TOTAL : 1305.61 USD
DISCOUNT(1.84%): (-) 24.02

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 1305.61  USD,"[[{'bbox': [[31.0, 497.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 1313.86 USD,Template4_Instance109.json
"BILL_TO:
Kayla Garcia
923 Robert Mills Apt. 331
East Michael, IN 82416 US
Tel:+(160)896-2992
Email:angelamccall@example.net
Site:https://www.jacobs-young.com/",Date: 08-Aug-2009,DISCOUNT(3.2%): (-)  19.82,Due Date : 11-Mar-1997,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

INVOICE TOTAL : 629.08 EUR
BILL_TO:
Kayla Garcia
923 Robert Mills Apt. 331 Due Date : 11-Mar-1997

East Michael, IN 82416 US
Tel:+(160)896-2992
Email:angelamccall@example.net
Site:https://www.jacobs-young.com/

Date: 08-Aug-2009

Description QUANTITY PRICE
Off almost. 4.00 $33.18
Memory wind usually. 5.00 $46.53
Investment central. 3.00 $84.67

SUB_TOTAL : 619.38 EUR
DISCOUNT(3.2%): (-) 19.82

Note: All payments to be made in cash.
Contact us for queries on these quotations.
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 619.38  EUR,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 629.08 EUR,Template4_Instance11.json
"BILL_TO:
Stacey Reed
184 Stacey Overpass Apt. 091
North Kristen, AS 50936 US
Tel:+(628)642-6177
Email:gwendolyn74@example.com
Site:http://fisher.biz/",Date: 29-May-1993,DISCOUNT(1.8%): (-)  13.56,Due Date : 31-Jan-2002,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

COMMERCIAL INVOICE

BILL_TO:

Stacey Reed

184 Stacey Overpass Apt. 091
North Kristen, AS 50936 US
Tel:+(628)642-6177
Email:gwendolyn74@example.com
Site:http://fisher.biz/

TOTAL : 773.38 USD

Due Date : 31-Jan-2002

Date: 29-May-1993

Description QUANTITY PRICE
Wrong single firm. 3.00 $81.60
Step hundred. 5.00 $90.62
Here oil. 5.00 $11.10

SUB_TOTAL : 753.40 USD
DISCOUNT(1.8%): (-) 13.56

Note: All payments to be made in cash.
Contact us for queries on these quotations.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 753.40  USD,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",COMMERCIAL INVOICE,TOTAL : 773.38 USD,Template4_Instance110.json
"BILL_TO:
Patricia Craig
13003 Russell Trail
Escobarfort, GA 08317 US
Tel:+(719)039-3467
Email:pruittedward@example.net
Site:http://www.mccoy.com/",Invoice Date: 08-Apr-1999,DISCOUNT(2.68%): (-)  11.57,Due Date : 21-Apr-2002,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

Patricia Craig

13003 Russell Trail

Escobarfort, GA 08317 US
Tel:+(719)039-3467
Email:pruittedward@example.net
Site:http:/www.mccoy.com/

TOTAL : 441.91 EUR

Due Date : 21-Apr-2002

Invoice Date: 08-Apr-1999

Description QUANTITY PRICE
Since common. 5.00 $43.95
Green cup. 3.00 $70.70
SUB_TOTAL : 431.85 EUR
DISCOUNT(2.68%): (-) 11.57
Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 431.85  EUR,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 441.91 EUR,Template4_Instance111.json
"BILL_TO:
Benjamin Buck
338 Fox Drives Suite 944
Amandafort, PR 67900 US
Tel:+(990)293-1993
Email:kblack@example.com
Site:http://contreras-singleton.org/",Date: 08-Jun-1998,DISCOUNT(1.14%): (-)  6.05,Due Date : 29-Jul-2020,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

Benjamin Buck

338 Fox Drives Suite 944
Amandafort, PR 67900 US
Tel:+(990)293-1993
Email:kblack@example.com
Site:http://contreras-singleton.org/

TOTAL : 538.26 USD

Due Date : 29-Jul-2020

Date: 08-Jun-1998

Description QUANTITY PRICE
Might authority. 5.00 $83.60
Figure ground whatever. 5.00 $22.56
SUB_TOTAL : 530.80 USD
DISCOUNT(1.14%): (-) 6.05
Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 530.80  USD,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 538.26 USD,Template4_Instance112.json
"BILL_TO:
Ryan Cox
201 Emma Estate Apt. 223
Margaretport, NE 76716 US
Tel:+(550)351-0846
Email:stephanie30@example.com
Site:http://tyler.com/",Date: 18-May-2006,DISCOUNT(2.21%): (-)  5.91,Due Date : 15-Nov-2007,[],,Note:Total payment due in 14 days.,"tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

TAX INVOICE

BILL_TO:

Ryan Cox

201 Emma Estate Apt. 223
Margaretport, NE 76716 US
Tel:+(550)351-0846
Email:stephanie30@example.com
Site:http://tyler.com/

TOTAL : 272.61 USD

Due Date : 15-Nov-2007

Date: 18-May-2006

Description QUANTITY PRICE
Write ability about couple. 2.00 $7.46
Challenge try foot. 4.00 $63.07

SUB_TOTAL : 267.20 USD
DISCOUNT(2.21%): (-) 5.91

Note:Total payment due in 14 days.

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 267.20  USD,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",TAX INVOICE,TOTAL : 272.61 USD,Template4_Instance113.json
"BILL_TO:
Julian Reyes
888 Jesse Courts
Martinport, NH 02484 US
Tel:+(583)859-1968
Email:sanchezjason@example.com
Site:http://ford.com/",Invoice Date: 20-Jan-1995,DISCOUNT(2.04%): (-)  3.96,Due Date : 06-Nov-2002,[],,"Note:
This order is shipped through blue dart courier","tere hoover desien

Address:2180 Michael Ridges Apt. 385

Port Lindsey, MP 98258 US

INVOICE

BILL_TO:

Julian Reyes

888 Jesse Courts

Martinport, NH 02484 US
Tel:+(583)859-1968
Email:sanchezjason@example.com
Site:http://ford.com/

TOTAL : 198.32 EUR

Due Date : 06-Nov-2002

Invoice Date: 20-Jan-1995

Description QUANTITY PRICE
Rest. 1.00 $89.70
Similar which sign. 6.00 $17.44
SUB_TOTAL : 194.34 EUR
DISCOUNT(2.04%): (-) 3.96
Note:

This order is shipped through blue dart courier

","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 194.34  EUR,"[[{'bbox': [[31.0, 443.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 198.32 EUR,Template4_Instance114.json
"BILL_TO:
Priscilla Wheeler
15056 Samantha Lodge Suite 603
Lake Douglasland, LA 52646 US
Tel:+(874)260-0148
Email:dwells@example.net
Site:https://www.hooper.info/",Date: 26-Sep-2013,DISCOUNT(2.96%): (-)  15.81,Due Date : 01-Oct-1995,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

INVOICE TOTAL : 552.32 EUR
BILL_TO:
Priscilla Wheeler
15056 Samantha Lodge Suite 603 Due Date : 01-Oct-1995

Lake Douglasland, LA 52646 US
Tel:+(874)260-0148
Email:dwells@example.net
Site:https://www.hooper.info/

Date: 26-Sep-2013

Description QUANTITY PRICE
Discover really. 4.00 $49.32
Around our election. 3.00 $80.66
Statement almost. 6.00 $9.47

Social suffer. 2.00 $18.98

SUB_TOTAL : 534.04 EUR
DISCOUNT(2.96%): (-) 15.84

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 534.04  EUR,"[[{'bbox': [[31.0, 479.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 552.32 EUR,Template4_Instance115.json
"BILL_TO:
James Valdez
910 Nguyen Bypass Suite 459
New Victoriaborough, RI 11312 US
Tel:+(937)468-4220
Email:gcortez@example.net
Site:https://www.harris.org/",Invoice Date: 29-Dec-2011,DISCOUNT(3.82%): (-)  24.24,Due Date : 28-Aug-2018,[],,Thank you for your business!,"tere hoover desien

Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US

INVOICE TOTAL : 656.30 EUR
BILL_TO:
James Valdez
910 Nguyen Bypass Suite 459 Due Date : 28-Aug-2018

New Victoriaborough, RI 11312 US
Tel:+(937)468-4220
Email:gcortez@example.net
Site:https://www.harris.org/

Invoice Date: 29-Dec-2011

Description QUANTITY PRICE
Worry off attention. 3.00 $93.11
Market course cause. 5.00 $24.03
Heart age. 6.00 $39.20

SUB_TOTAL : 634.68 EUR
DISCOUNT(3.82%): (-) 24.24

Thank you for your business!
","Address:2180 Michael Ridges Apt. 385
Port Lindsey, MP 98258 US",Huff-Bryan,SUB_TOTAL : 634.68  EUR,"[[{'bbox': [[31.0, 461.8898], [581.0, 389.8898]]}]]",INVOICE,TOTAL : 656.30 EUR,Template4_Instance116.json
