BUYER,DATE,INVOICE_INFO,LOGO,NOTE,NUMBER,OTHER,PO_NUMBER,SELLER_ADDRESS,SELLER_EMAIL,SELLER_NAME,SUB_TOTAL,TABLE,TAX,TOTAL,TOTAL_WORDS,_source_file
"Bill to:Robyn Johnson
233 Foster Gardens
Johnburgh, ID 41900 US
Tel:+(108)863-6905
Email:paul73@example.com
Site:http://www.jones.biz/",Date: 18-Jan-1999,[],,Thank you for your business!,INVOICE ID 5Y3M7d-590,"Date: 18-Jan-1999

INVOICE ID 5Y3M7d-590
PO Number :84

Bill to:Robyn Johnson

233 Foster Gardens
Johnburgh, ID 41900 US
Tel:+(108)863-6905
Email:paul73@example.com
Site:http://www.jones.biz/

572372 Speak cultural. 23.44

}6.00 | 060387 Apply student card. 95.87 575.22
490537 Economy people. 29,52
477174 Human suggest tree. 49.27 49.27

SUB_TOTAL : 677.45 USD
TAX:VAT (3.49%): 23.66 USD
BALANCE DUE : 677.33 USD

Total in words: six hundred and seventy-
-seven point three three

Thank you for your business!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :84,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 677.45  USD,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.49%):  23.66 USD,BALANCE DUE : 677.33 USD,"Total in words:  six hundred and seventy-
-seven point three three",Template5_Instance0.json
"Buyer :Paul Brown
17969 Pratt Bypass Apt. 628
Markmouth, OR 78073 US
Tel:+(113)594-1668
Email:morankarla@example.com
Site:http://harvey-fuller.org/",Invoice Date: 13-Apr-2008,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE ID 6553-163,"Invoice Date: 13-Apr-2008

INVOICE ID 6553-163
PO Number :96

Buyer :Paul Brown

17969 Pratt Bypass Apt. 628
Markmouth, OR 78073 US
Tel:+(113)594-1668
Email:morankarla@example.com
Site:http://harvey-fuller.org/

}6.00 ‘| 384655 Activity he. 94,09 564.54

SUB_TOTAL : 615.84 $
TAX:VAT (4.15%): 25.54 $
BALANCE DUE : 630.17 $

Total in words: six hundred and thi-
rty point one seven

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :96,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 615.84  $,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.15%):  25.54 $,BALANCE DUE : 630.17 $,"Total in words:  six hundred and thi-
rty point one seven",Template5_Instance1.json
"Buyer :Patrick Rodriguez
9566 Vasquez Inlet
North Erica, IN 28285 US
Tel:+(432)188-1728
Email:ydavis@example.com
Site:http://stevens.com/",Date: 04-Aug-2020,[],,Thank you for choosing us!,INVOICE # 6Y5M6d-746,"Date: 04-Aug-2020

INVOICE # 6Y5M6d-746
PO Number :19

Buyer :Patrick Rodriguez
9566 Vasquez Inlet

North Erica, IN 28285 US
Tel:+(432)188-1728
Email:ydavis@example.com
Site:http://stevens.com/

876422 Defense member ball. 83.53 417.65

}6.00 | 765800 It certainly. 22.68 136.08

SUB_TOTAL : 553.73 USD
TAX:VAT (4.49%): 24.86 USD
BALANCE DUE : 564.97 USD

Total in words: five hundred and sixty-
-four point nine seven

Thank you for choosing us!

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :19,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 553.73  USD,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.49%):  24.86 USD,BALANCE DUE : 564.97 USD,"Total in words:  five hundred and sixty-
-four point nine seven",Template5_Instance10.json
"Buyer :Daniel Pierce
78347 Schultz Island
Buckfort, MD 18498 US
Tel:+(369)437-5540
Email:howellsharon@example.com
Site:https://kelley.com/",Invoice Date: 04-Oct-2022,[],,"Note:
This order is shipped through blue dart courier",Invoice number INV94037759,"Invoice Date: 04-Oct-2022

Invoice number INV94037759
PO Number :25

Buyer :Daniel Pierce

78347 Schultz Island

Buckfort, MD 18498 US
Tel:+(369)437-5540
Email:howellsharon@example.com
Site:https://kelley.com/

474179 Drive continue ready. 16.82 16.82

SUB_TOTAL : 56.99 $
TAX:VAT (3.13%): 1.78 $
BALANCE DUE : 56.86 $

Total in words: fifty-six po-
int eight six

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :25,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 56.99  $,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (3.13%):  1.78 $,BALANCE DUE : 56.86 $,"Total in words:  fifty-six po-
int eight six",Template5_Instance100.json
"Bill to:Sean Nichols
35450 Brooke Freeway Suite 786
Jacksonchester, FM 62786 US
Tel:+(821)255-7277
Email:christopherlamb@example.org
Site:http://proctor.info/",Invoice Date: 27-Jan-2009,[],,Note:Total payment due in 14 days.,Invoice number 5Y2M7d-545,"Invoice Date: 27-Jan-2009

Invoice number 5Y2M7d-545
PO Number :62

Bill to:Sean Nichols

35450 Brooke Freeway Suite 786
Jacksonchester, FM 62786 US
Tel:+(821)255-7277
Email:christopherlamb@example.org
Site:http://proctor.info/

801569 Strategy because total. 22.28 89.12

SUB_TOTAL : 143.83 USD
TAX:VAT (6.63%): 9.53 USD
BALANCE DUE : 151.09 USD

Total in words: one hundred and fift-
y-one point zero nine

Note:Total payment due in 14 days.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :62,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 143.83  USD,"[[{'bbox': [[7.0, 420.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.63%):  9.53 USD,BALANCE DUE : 151.09 USD,"Total in words:  one hundred and fift-
y-one point zero nine",Template5_Instance101.json
"Bill to:Hunter White
580 Johns Trafficway Apt. 099
Lake Elizabethfort, CA 70291 US
Tel:+(383)777-6857
Email:robbinsjoseph@example.net
Site:http://www.jackson-roberts.com/",Date: 25-Jul-2016,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",Invoice number 1Y3M5d-291,"Date: 25-Jul-2016

Invoice number 1Y3M5d-291
PO Number :01

Bill to: Hunter White

580 Johns Trafficway Apt. 099

Lake Elizabethfort, CA 70291 US
Tel:+(383)777-6857
Email:robbinsjoseph@example.net
Site:http://www.jackson-roberts.com/

SUB_TOTAL : 1141.81 EUR
TAX:VAT (6.32%): 72.16 EUR
BALANCE DUE : 1183.48 EUR

Total in words: one thousand, one hundred and-
eighty-three point four eight

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :01,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 1141.81  EUR,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (6.32%):  72.16 EUR,BALANCE DUE : 1183.48 EUR,"Total in words:  one thousand, one hundred and-
eighty-three point four eight",Template5_Instance102.json
"Buyer :Steve Yang
28881 Nathaniel Squares Apt. 623
Tuckerburgh, AK 41164 US
Tel:+(989)868-6209
Email:elizabeth08@example.net
Site:http://smith-mcbride.com/",Invoice Date: 09-Sep-2003,[],,"Note:
This order is shipped through blue dart courier",Invoice number INV/80-18/089,"Invoice Date: 09-Sep-2003

Invoice number INV/80-18/089
PO Number :95

Buyer :Steve Yang

28881 Nathaniel Squares Apt. 623
Tuckerburgh, AK 41164 US
Tel:+(989)868-6209
Email:elizabeth0O8@example.net
Site:http://smith-mcbride.com/

287493 Difference story. 61.53 184.59

750400 Subject country. 17.62 52.86

SUB_TOTAL : 243.70 USD
TAX:VAT (4.90%): 11.93 USD
BALANCE DUE : 248.05 USD

Total in words: two hundred and forty-
-eight point zero five

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :95,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 243.70  USD,"[[{'bbox': [[7.0, 438.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.90%):  11.93 USD,BALANCE DUE : 248.05 USD,"Total in words:  two hundred and forty-
-eight point zero five",Template5_Instance103.json
"Buyer :Kristina Wyatt
3064 Jennifer Vista
Victorbury, CO 45641 US
Tel:+(920)922-2490
Email:traceywoods@example.org
Site:https://johnson.com/",Invoice Date: 24-Jul-1995,[],,"Note:
This order is shipped through blue dart courier",INVOICE ID 9Y6M4d-601,"Invoice Date: 24-Jul-1995

INVOICE ID 9Y6M4d-601
PO Number :59

Buyer :Kristina Wyatt

3064 Jennifer Vista

Victorbury, CO 45641 US
Tel:+(920)922-2490
Email:traceywoods@example.org
Site:https://johnson.com/

886965 Use shake defense. 63,29 253.16
457365 Tv kitchen. 12.08 36.24

978185 Despite price four. 39.16 78,32
}6.00 | 975900 Young memory against. 58.37 350.22

SUB_TOTAL : 825.02 $
TAX:VAT (4.17%): 34.39 $
BALANCE DUE : 818.98 $

Total in words: eight hundred and eig-
hteen point nine eight

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :59,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 825.02  $,"[[{'bbox': [[7.0, 474.8898], [523.0, 366.8898]]}]]",TAX:VAT (4.17%):  34.39 $,BALANCE DUE : 818.98 $,"Total in words:  eight hundred and eig-
hteen point nine eight",Template5_Instance104.json
"Bill to:Nicole Smith
273 Kyle Manor
Lewisport, AZ 84916 US
Tel:+(207)653-3187
Email:louis28@example.net
Site:http://anderson.net/",Invoice Date: 30-Jul-2016,[],,"Note: All payments to be made in cash.
Contact us for queries on these quotations.",INVOICE # INV/83-99/129,"Invoice Date: 30-Jul-2016

INVOICE # INV/83-99/129
PO Number :36

Bill to:Nicole Smith

273 Kyle Manor

Lewisport, AZ 84916 US
Tel:+(207)653-3187
Email:louis28@example.net
Site:http://anderson.net/

698464 With others. 67.16 268.64

039474 Summer operation adult. 37.33 74.66
841304 Suggest. 19.20 96.00
}6.00 | 427936 Economy personal find. 72.55 435.30

SUB_TOTAL : 874.60 USD
TAX:VAT (5.52%): 48.31 USD
BALANCE DUE : 905.33 USD

Total in words: nine hundred and fi-
ve point three three

Note: All payments to be made in cash.
Contact us for queries on these quotations.

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :36,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 874.60  USD,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.52%):  48.31 USD,BALANCE DUE : 905.33 USD,"Total in words:  nine hundred and fi-
ve point three three",Template5_Instance105.json
"Bill to:Amanda Price
82236 Barbara Glens Suite 121
Jenniferstad, MN 19295 US
Tel:+(431)330-7998
Email:loriwoodward@example.com
Site:https://rodriguez.com/",Date: 25-Dec-1997,[],,"Note:
This order is shipped through blue dart courier",Invoice number 3823-367,"Date: 25-Dec-1997

Invoice number 3823-367
PO Number :87

Bill to: Amanda Price

82236 Barbara Glens Suite 121
Jenniferstad, MN 19295 US
Tel:+(431)330-7998
Email:loriwoodward@example.com
Site:https://rodriguez.com/

922841 Plant discover firm. 44.95 89.90

}6.00 | 650204 Window happy. 66.43 398.58
1.00 482394 Guy build parent. 87.86 87.86

SUB_TOTAL : 1035.24 EUR
TAX:VAT (5.68%): 58.83 EUR
BALANCE DUE : 1042.62 EUR

Total in words: one thousand and for-
ty-two point six two

Note:
This order is shipped through blue dart courier

Address:233 Foster Gardens
Johnburgh, ID 41900 US

ABC Enterprises Pvt. Ltd.
Email:paul73@example.com
",PO Number :87,"Address:233 Foster Gardens
Johnburgh, ID 41900 US",Email:paul73@example.com,Bailey Group,SUB_TOTAL : 1035.24  EUR,"[[{'bbox': [[7.0, 456.8898], [523.0, 366.8898]]}]]",TAX:VAT (5.68%):  58.83 EUR,BALANCE DUE : 1042.62 EUR,"Total in words:  one thousand and for-
ty-two point six two",Template5_Instance106.json
